feature,stage1_importance,downrisk_importance,mean_importance,max_importance,importance_gap_stage1_minus_downrisk,is_low_importance_candidate,used_more_by,stage1_rank,downrisk_rank,mean_rank
drawdown_120,0.10988664083249335,0.029321893893602766,0.06960426736304806,0.10988664083249335,0.08056474693889058,False,stage1,1,12,1
atr_pct_14,0.094021036827187,0.007184350416477851,0.05060269362183242,0.094021036827187,0.08683668641070916,False,stage1,2,49,2
semi_vol_20,0.060067118483453266,0.006993314458572223,0.033530216471012744,0.060067118483453266,0.053073804024881044,False,stage1,3,53,3
garman_klass_vol_20,0.04959409450465399,0.009489360067199233,0.029541727285926613,0.04959409450465399,0.040104734437454756,False,stage1,4,36,4
price_ma_200_gap,0.024570398351190507,0.03323289681490054,0.028901647583045524,0.03323289681490054,-0.008662498463710033,False,downrisk,10,9,5
ma_gap_50_200,0.009558749099914355,0.0446382656634327,0.027098507381673527,0.0446382656634327,-0.03507951656351835,False,downrisk,33,1,6
atr_pct_20,0.04163931486849804,0.009935082505457925,0.025787198686977982,0.04163931486849804,0.03170423236304012,False,stage1,5,32,7
ma200_slope_60,0.010218648417364983,0.03978689972494402,0.025002774071154504,0.03978689972494402,-0.02956825130757904,False,downrisk,25,2,8
price_ma_120_gap,0.013214974454881269,0.03677986784250879,0.02499742114869503,0.03677986784250879,-0.023564893387627524,False,downrisk,16,6,9
return_120d,0.010699325955578215,0.03466120793572849,0.022680266945653352,0.03466120793572849,-0.02396188198015027,False,downrisk,22,7,10
trend_consistency_60,0.0058857283799466495,0.03926758967176559,0.02257665902585612,0.03926758967176559,-0.03338186129181894,False,downrisk,57,3,11
drawdown_20,0.020259383495800965,0.024312748078904007,0.022286065787352486,0.024312748078904007,-0.004053364583103042,False,downrisk,12,17,12
drawdown_60,0.02825597758563827,0.016178431083094687,0.022217204334366476,0.02825597758563827,0.012077546502543581,False,stage1,7,23,13
trend_slope_60,0.007328288994264609,0.03697869799085901,0.02215349349256181,0.03697869799085901,-0.0296504089965944,False,downrisk,49,4,14
positive_return_ratio_60,0.006896724721757762,0.036904831732478736,0.02190077822711825,0.036904831732478736,-0.030008107010720975,False,downrisk,54,5,15
ma_gap_60_120,0.009724361085866962,0.03361511508674678,0.02166973808630687,0.03361511508674678,-0.023890754000879817,False,downrisk,31,8,16
price_position_20,0.015886248909939442,0.023754028227381763,0.019820138568660602,0.023754028227381763,-0.00786777931744232,False,downrisk,14,18,17
return_60d,0.007980147572934151,0.029833171984050534,0.018906659778492343,0.029833171984050534,-0.021853024411116383,False,downrisk,40,11,18
return_10d,0.01294141214263315,0.024713831312530642,0.018827621727581897,0.024713831312530642,-0.011772419169897493,False,downrisk,17,16,19
parkinson_vol_20,0.027373201796662115,0.009483937703494339,0.018428569750078228,0.027373201796662115,0.017889264093167774,False,stage1,8,38,20
downside_vol_20,0.02608418127102408,0.009640788442175589,0.017862484856599834,0.02608418127102408,0.01644339282884849,False,stage1,9,34,21
ma_gap_20_60,0.007421124490584978,0.028201060863092667,0.01781109267683882,0.028201060863092667,-0.02077993637250769,False,downrisk,48,14,22
large_up_day_ratio_20,0.0032100902153435152,0.031558144150007794,0.017384117182675653,0.031558144150007794,-0.028348053934664278,False,downrisk,63,10,23
price_ma_60_gap,0.005753755242998133,0.028745446230916245,0.01724960073695719,0.028745446230916245,-0.02299169098791811,False,downrisk,58,13,24
close_to_20d_high,0.01986804137730735,0.0142877172294559,0.017077879303381626,0.01986804137730735,0.005580324147851451,False,stage1,13,24,25
trend_slope_20,0.006637710295162296,0.026966950925854667,0.01680233061050848,0.026966950925854667,-0.020329240630692372,False,downrisk,55,15,26
rogers_satchell_vol_20,0.024172729734259303,0.009157668234126698,0.016665198984193,0.024172729734259303,0.015015061500132605,False,stage1,11,41,27
close_to_60d_high,0.029978750800399297,0.0030847950656928093,0.016531772933046054,0.029978750800399297,0.026893955734706487,False,stage1,6,62,28
ma_gap_5_20,0.007611803021280676,0.023554485360577134,0.015583144190928905,0.023554485360577134,-0.01594268233929646,False,downrisk,46,19,29
price_position_60,0.012083698510116573,0.017785413820689506,0.01493455616540304,0.017785413820689506,-0.005701715310572933,False,downrisk,20,21,30
positive_return_ratio_20,0.007690038986592775,0.01758003130175228,0.012635035144172527,0.01758003130175228,-0.009889992315159503,False,downrisk,45,22,31
large_down_day_ratio_20,0.0030278856917031285,0.0196349798441001,0.011331432767901614,0.0196349798441001,-0.01660709415239697,False,downrisk,65,20,32
price_ma_20_gap,0.012178671111108824,0.010018354535793587,0.011098512823451204,0.012178671111108824,0.002160316575315237,False,stage1,19,29,33
ulcer_index_60,0.010416602636853765,0.010284334625243958,0.01035046863104886,0.010416602636853765,0.0001322680116098065,False,stage1,23,28,34
yang_zhang_vol_20,0.009998800443662774,0.010014625093624541,0.010006712768643657,0.010014625093624541,-1.5824649961767787e-05,False,downrisk,27,30,35
downside_vol_60,0.009908584723090162,0.009742765920852662,0.009825675321971412,0.009908584723090162,0.00016581880223750026,False,stage1,28,33,36
down_volume_ratio_20,0.007782858469620387,0.011821834391590316,0.009802346430605352,0.011821834391590316,-0.0040389759219699286,False,downrisk,44,26,37
return_5d,0.007611151515390255,0.011936576118640605,0.00977386381701543,0.011936576118640605,-0.00432542460325035,False,downrisk,47,25,38
parkinson_vol_60,0.010242624449188404,0.009210404348838911,0.009726514399013658,0.010242624449188404,0.001032220100349493,False,stage1,24,40,39
return_20d,0.007265102067004404,0.011708361063593485,0.009486731565298945,0.011708361063593485,-0.0044432589965890815,False,downrisk,51,27,40
atr_pct_60,0.010709260656089072,0.008127545786781707,0.00941840322143539,0.010709260656089072,0.0025817148693073645,False,stage1,21,43,41
vol_of_vol_20,0.008865253705095263,0.009963460416061644,0.009414357060578454,0.009963460416061644,-0.0010982067109663804,False,downrisk,36,31,42
true_range_pct,0.012847626075704789,0.0052127899642404555,0.009030208019972622,0.012847626075704789,0.007634836111464333,False,stage1,18,55,43
yang_zhang_vol_60,0.008385910220004874,0.00952329374925764,0.008954601984631258,0.00952329374925764,-0.001137383529252767,False,downrisk,38,35,44
atr_ratio_14_60,0.009761787702686094,0.007871963502689068,0.008816875602687582,0.009761787702686094,0.001889824199997026,False,stage1,30,45,45
ewma_vol_20,0.01342542129939483,0.004197840568682822,0.008811630934038826,0.01342542129939483,0.009227580730712007,False,stage1,15,60,46
realized_vol_60,0.007878260547479999,0.009377914050415756,0.008628087298947876,0.009377914050415756,-0.0014996535029357574,False,downrisk,42,39,47
high_volume_down_ratio_20,0.008063524524650636,0.009033619722772744,0.008548572123711691,0.009033619722772744,-0.0009700951981221079,False,downrisk,39,42,48
ewma_vol_60,0.009584165337155498,0.007310536747378552,0.008447351042267025,0.009584165337155498,0.0022736285897769467,False,stage1,32,48,49
atr_rank_252,0.009879677904430695,0.006810825405460889,0.008345251654945792,0.009879677904430695,0.003068852498969806,False,stage1,29,54,50
atr_ratio_20_60,0.009195236288452714,0.007029368944763415,0.008112302616608065,0.009195236288452714,0.0021658673436892985,False,stage1,34,52,51
