,importance
ma_gap_50_200,0.04226703333978031
positive_return_ratio_60,0.04158145677490485
trend_consistency_60,0.03864943029229017
large_up_day_ratio_20,0.03817898626878654
trend_slope_60,0.036198747701751285
ma_gap_20_60,0.0345491560165133
ma_gap_60_120,0.03420871608612182
return_60d,0.03387348539521589
ma200_slope_60,0.03376001408516645
drawdown_120,0.031122578671912465
return_120d,0.03106650895754457
price_ma_200_gap,0.02826335913687698
large_down_day_ratio_20,0.028213779959003104
trend_slope_20,0.027626974949548744
drawdown_60,0.025404069381555316
price_ma_60_gap,0.024162568928179702
price_ma_120_gap,0.02371537519569182
positive_return_ratio_20,0.023389860656562286
price_position_20,0.022339105645949296
ma_gap_5_20,0.019447040301665493
drawdown_20,0.01839527417459062
return_10d,0.017556361633462164
return_20d,0.016646718968585137
price_position_60,0.016139929661978795
return_5d,0.01598177207348846
trend_consistency_20,0.015332261670168941
high_volume_down_ratio_20,0.0122440823112219
close_to_60d_high,0.011976636162656401
vol_of_vol_20,0.01139993456108545
downside_vol_20,0.010948331200401094
rogers_satchell_vol_20,0.01059543217519607
parkinson_vol_60,0.010253518596217629
atr_rank_252,0.010070599107206446
ulcer_index_60,0.009787705395948898
close_to_20d_high,0.009647618154453103
down_volume_ratio_20,0.009160081567582766
atr_pct_60,0.009125858887619827
yang_zhang_vol_20,0.00898932357588898
atr_accel_5,0.0089503310255603
atr_ratio_14_60,0.008797654998180747
ulcer_index_20,0.008419165599740536
atr_ratio_20_60,0.008369071009146738
ulcer_rank_252,0.008313372939503941
garman_klass_vol_20,0.00827230748782345
parkinson_vol_20,0.008156618897555104
realized_vol_60,0.008106829497632218
downside_vol_60,0.008059396702937172
keltner_width_20,0.007802266478206926
yang_zhang_vol_60,0.00772460096029522
bb_width_20,0.007478411195058921
bb_width_rank_252,0.007398812502714588
price_ma_20_gap,0.007241473585979871
semi_vol_20,0.006531801340938095
ewma_vol_60,0.00598238192355372
realized_vol_20,0.005813068250047185
atr_pct_14,0.005470579461731687
ewma_vol_20,0.005411572129492857
atr_pct_20,0.0041861564271529605
volume_ratio_20,0.0031324628855136996
volume_shock_rank_252,0.0031243867579851883
volume_zscore_20,0.0024935489021902352
true_range_pct,0.0018071189513382008
volume_shock_20,0.0006705927312227519
bearish_ma_stack,1.6326995741931565e-05
