,importance
large_up_day_ratio_20,0.047576117865179506
trend_slope_60,0.04597201651804859
ma_gap_60_120,0.04557522179421208
price_ma_120_gap,0.04537944560907486
ma_gap_50_200,0.04447675818052616
price_ma_200_gap,0.04368840107989464
trend_slope_20,0.042727321052798146
ma200_slope_60,0.042507875537026736
ma_gap_20_60,0.041464855248618517
positive_return_ratio_60,0.04119849124819868
high_volume_down_ratio_20,0.03930085030151531
trend_consistency_60,0.036887591170694026
down_volume_ratio_20,0.034333705491556586
return_120d,0.03290443442806247
price_ma_60_gap,0.03284609118730129
return_60d,0.03233904763096905
return_20d,0.029545516865457304
large_down_day_ratio_20,0.02868302313159109
drawdown_120,0.027718942649135853
positive_return_ratio_20,0.02510552185343667
drawdown_60,0.025074777675601782
drawdown_20,0.024934422348566826
price_position_60,0.02450462471091351
ma_gap_5_20,0.020551301345297663
return_10d,0.019410210982663385
return_5d,0.017766210166291062
price_ma_20_gap,0.017388449976034094
price_position_20,0.01615928262213452
volume_shock_rank_252,0.014725931278902978
volume_ratio_20,0.014107015848922957
trend_consistency_20,0.009095789838789238
close_to_60d_high,0.008197658475384943
volume_zscore_20,0.00817150624477238
close_to_20d_high,0.007475842614584263
bearish_ma_stack,0.0064810812713519215
volume_shock_20,0.00572466774980375
