,importance
trend_slope_60,0.047023415717015425
ma_gap_20_60,0.04585781854961718
trend_consistency_60,0.04507811410012581
price_ma_200_gap,0.04503839566880035
positive_return_ratio_60,0.04437862948093209
large_up_day_ratio_20,0.04430528177828011
ma_gap_60_120,0.043173335806747516
high_volume_down_ratio_20,0.04285297166631882
price_ma_120_gap,0.0426929445989478
ma_gap_50_200,0.0424634710957651
trend_slope_20,0.04143437473118995
down_volume_ratio_20,0.04087114483136536
ma200_slope_60,0.03984835695490123
return_120d,0.039243043362466055
return_60d,0.039229382768779894
price_ma_60_gap,0.03670598420296936
ma_gap_5_20,0.03304255081041317
price_position_60,0.029509988027654352
return_20d,0.02694394151527261
drawdown_120,0.024312265642197056
drawdown_60,0.021596080811125122
drawdown_20,0.020563390228105726
price_ma_20_gap,0.020204099332067203
return_5d,0.01885090073032881
large_down_day_ratio_20,0.01686604482380885
price_position_20,0.01586399572053259
return_10d,0.015234664909330026
positive_return_ratio_20,0.013419164578343563
volume_ratio_20,0.010429442982145008
volume_shock_rank_252,0.010213939617069212
bearish_ma_stack,0.00888727872913319
volume_zscore_20,0.008504938471892346
close_to_20d_high,0.008101990116604915
trend_consistency_20,0.007509692360159418
close_to_60d_high,0.0052412236118615264
volume_shock_20,0.004507743222694401
