model,prob_col,actual_col,positive_value,threshold,precision,recall,f1,pred_positive_ratio,support_positive,support_negative
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.1,0.3687203791469194,0.9856418918918919,0.5366750977236147,0.9430870083432658,1184,2172
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.15,0.4079475027342326,0.9451013513513513,0.5699006875477464,0.817342073897497,1184,2172
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.2,0.45107296137339054,0.887668918918919,0.5981787137165623,0.6942789034564958,1184,2172
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.25,0.4955179282868526,0.8403716216216216,0.6234335839598998,0.5983313468414779,1184,2172
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.3,0.5564903846153846,0.7820945945945946,0.6502808988764045,0.4958283671036949,1184,2172
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.35,0.609504132231405,0.7474662162162162,0.6714719271623673,0.432657926102503,1184,2172
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.4,0.6535493827160493,0.7153716216216216,0.6830645161290323,0.38617401668653156,1184,2172
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.45,0.702726473175022,0.674831081081081,0.6884963377854373,0.33879618593563765,1184,2172
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.5,0.7389597644749755,0.6359797297297297,0.6836132546527462,0.3036352800953516,1184,2172
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.55,0.7665929203539823,0.5853040540540541,0.6637931034482759,0.2693682955899881,1184,2172
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.6,0.8002528445006322,0.5346283783783784,0.6410126582278481,0.23569725864123958,1184,2172
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.65,0.8154929577464789,0.4890202702702703,0.6114044350580782,0.21156138259833135,1184,2172
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.7,0.8282988871224165,0.44003378378378377,0.5747380033094319,0.18742550655542312,1184,2172
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.75,0.8414414414414414,0.39442567567567566,0.5370902817711328,0.16537544696066747,1184,2172
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.8,0.8674157303370786,0.3260135135135135,0.47391037446286066,0.13259833134684149,1184,2172
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.85,0.8929663608562691,0.24662162162162163,0.38649900727994707,0.09743742550655542,1184,2172
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.9,0.9536423841059603,0.12162162162162163,0.2157303370786517,0.04499404052443385,1184,2172
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.1,0.3687203791469194,0.9856418918918919,0.5366750977236147,0.9430870083432658,1184,2172
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.15,0.4079475027342326,0.9451013513513513,0.5699006875477464,0.817342073897497,1184,2172
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.2,0.45107296137339054,0.887668918918919,0.5981787137165623,0.6942789034564958,1184,2172
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.25,0.4955179282868526,0.8403716216216216,0.6234335839598998,0.5983313468414779,1184,2172
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.3,0.5564903846153846,0.7820945945945946,0.6502808988764045,0.4958283671036949,1184,2172
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.35,0.609504132231405,0.7474662162162162,0.6714719271623673,0.432657926102503,1184,2172
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.4,0.6535493827160493,0.7153716216216216,0.6830645161290323,0.38617401668653156,1184,2172
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.45,0.702726473175022,0.674831081081081,0.6884963377854373,0.33879618593563765,1184,2172
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.5,0.7389597644749755,0.6359797297297297,0.6836132546527462,0.3036352800953516,1184,2172
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.55,0.7665929203539823,0.5853040540540541,0.6637931034482759,0.2693682955899881,1184,2172
