,importance
garman_klass_vol_20,0.08522875593524308
atr_pct_14,0.07984834409482632
parkinson_vol_20,0.07907330263256766
ewma_vol_20,0.06636648545665796
rogers_satchell_vol_20,0.05286955676586201
atr_pct_20,0.040754946618498766
semi_vol_20,0.03653196540974369
drawdown_20,0.024247353562959543
close_to_20d_high,0.02418458001458988
yang_zhang_vol_60,0.019471649409203404
price_position_20,0.016981872310030406
downside_vol_60,0.01568771610710962
downside_vol_20,0.014769269464147602
true_range_pct,0.012495803999006476
price_ma_200_gap,0.012469338780243156
return_120d,0.012299433538583033
price_ma_20_gap,0.011986195659754605
return_10d,0.011974629375525557
keltner_width_20,0.011485884538333699
drawdown_60,0.011442686069925018
atr_pct_60,0.011195677908997621
yang_zhang_vol_20,0.011175826346169785
price_ma_10_gap,0.011024465037432188
ma_gap_50_200,0.010838683144400073
drawdown_120,0.01043738208222063
parkinson_vol_60,0.010355271631158843
ma200_slope_60,0.010123180801562581
trend_slope_60,0.010083880887130305
ma_gap_5_20,0.009955058323363292
ma_gap_60_120,0.009799245315315645
ma_gap_20_60,0.00973320911044351
atr_rank_252,0.009646109450610339
price_ma_120_gap,0.009575208910973743
realized_vol_60,0.009402599453414229
high_volume_down_ratio_20,0.00939268572094281
return_20d,0.009378047856469968
ewma_vol_60,0.009352372449130699
trend_slope_20,0.009067458174069457
atr_ratio_14_60,0.00899677671663489
ulcer_index_60,0.008979311046936172
realized_vol_20,0.008945926499383484
positive_return_ratio_60,0.008504850023503726
bb_width_20,0.008365975452184175
close_to_60d_high,0.00822335558839566
atr_accel_5,0.00819912461560711
vol_of_vol_20,0.008149187142927465
ulcer_index_20,0.0079697635295173
bb_width_rank_252,0.007827880067842281
atr_ratio_20_60,0.007744085348450527
return_60d,0.007623690250006298
ulcer_rank_252,0.007377883707199039
trend_consistency_60,0.007335771395619737
price_ma_60_gap,0.007311245274649991
price_position_60,0.007234557811840667
return_5d,0.007046362644662925
down_volume_ratio_20,0.0063934830669885355
positive_return_ratio_20,0.006358729724496019
large_up_day_ratio_20,0.00541823702174259
trend_consistency_20,0.004402869963260379
large_down_day_ratio_20,0.003926235555055096
volume_zscore_20,0.003740531532335591
daily_return,0.0036096868784553076
volume_shock_rank_252,0.0033579710965512726
volume_ratio_20,0.003261837618545484
volume_change,0.0015736521321785056
volume_shock_20,0.0010801548641552472
lower_high_20,0.00033473378144231714
bearish_ma_stack,0.0
