,importance
ma_gap_60_120,0.04330618151554575
ma200_slope_60,0.041553578285929114
ma_gap_50_200,0.04054100092362783
return_120d,0.03975202440305443
trend_slope_60,0.0396556032191877
ma_gap_20_60,0.03545632603172202
price_ma_120_gap,0.035242787061193555
price_ma_200_gap,0.03522794102684115
positive_return_ratio_60,0.035205146139589256
down_volume_ratio_20,0.03340798955341886
return_60d,0.03083853023663179
trend_slope_20,0.03017257683043479
large_down_day_ratio_20,0.02990976647630478
drawdown_60,0.028403203583106267
positive_return_ratio_20,0.027243496693035777
price_ma_60_gap,0.02686521590946959
large_up_day_ratio_20,0.02589591944198464
trend_consistency_60,0.025247910200772505
drawdown_120,0.02506793570304696
price_position_60,0.024532626972012667
ma_gap_5_20,0.024051978478353934
high_volume_down_ratio_20,0.023948806852728474
return_20d,0.02372591214332224
close_to_60d_high,0.02055377779458742
large_up_day_ratio_10,0.01977397884184029
trend_slope_10,0.017899077292982145
price_position_10_minus_20,0.01677755871833864
positive_return_ratio_10,0.0164607782455191
return_10d,0.015341577590117509
drawdown_20,0.015333176127295166
return_5d,0.014838254310920064
price_ma_20_gap,0.01389810867269441
large_down_day_ratio_10,0.012909439378297917
volume_ratio_20,0.012728652726923067
drawdown_10,0.012508988151686993
price_position_10,0.011733728821300679
volume_shock_rank_252,0.011007717052889925
trend_slope_5,0.010813843060243506
price_position_5_minus_20,0.009271979519932453
volume_zscore_20,0.008822856124663218
trend_consistency_20,0.008266751518685994
price_position_20,0.007040306889740307
drawdown_5,0.00553257904803537
bearish_ma_stack,0.0050994049985121585
close_to_20d_high,0.004705221344862828
close_to_10d_high,0.0034297902658860066
