prob_col,actual_col,positive_value,prob_bin,count,actual_rate,avg_prob,avg_strategy_return_net,ann_return_est,avg_stock_weight,avg_turnover
prob_high_vol,actual_risk,고변동,"(-0.001, 0.1]",24,0.25,0.09553019204734249,-0.0010325086087568255,-0.23266614616173542,0.8000000000000002,0.0
prob_high_vol,actual_risk,고변동,"(0.1, 0.2]",540,0.17222222222222222,0.15191506843935482,0.0006532493720326508,0.17284136725807975,0.7935185185185187,0.004666666666666666
prob_high_vol,actual_risk,고변동,"(0.2, 0.3]",565,0.2176991150442478,0.2467970670342765,0.0007024184100227966,0.18724828573742958,0.7758230088495576,0.008070796460176992
prob_high_vol,actual_risk,고변동,"(0.3, 0.4]",380,0.28157894736842104,0.34491509374548757,8.052497234733754e-06,-0.004788072372420071,0.7736842105263158,0.015894736842105267
prob_high_vol,actual_risk,고변동,"(0.4, 0.5]",367,0.35967302452316074,0.4453515286802005,0.000880795217777237,0.23773386709776512,0.7732970027247958,0.020599455040871937
prob_high_vol,actual_risk,고변동,"(0.5, 0.6]",304,0.5,0.5521434324588753,0.0006130346038148983,0.15574222024990703,0.7346052631578947,0.032894736842105275
prob_high_vol,actual_risk,고변동,"(0.6, 0.7]",333,0.5495495495495496,0.6476898081043634,0.0003026925982194058,0.06738489776147505,0.7088888888888887,0.056216216216216204
prob_high_vol,actual_risk,고변동,"(0.7, 0.8]",303,0.6831683168316832,0.7475381795616471,0.001681905866876119,0.5107386741602233,0.6173597359735973,0.07023102310231023
prob_high_vol,actual_risk,고변동,"(0.8, 0.9]",331,0.8368580060422961,0.8530255539741869,3.3924846966378036e-06,-0.005237762007594737,0.40652567975830817,0.07637462235649545
prob_high_vol,actual_risk,고변동,"(0.9, 1.0]",210,0.9285714285714286,0.9194091234051825,0.0006065328738532048,0.15472314540268073,0.3005714285714287,0.0022857142857142837
prob_overall_risk,actual_risk,고변동,"(-0.001, 0.1]",24,0.25,0.09553019204734249,-0.0010325086087568255,-0.23266614616173542,0.8000000000000002,0.0
prob_overall_risk,actual_risk,고변동,"(0.1, 0.2]",540,0.17222222222222222,0.15191506843935482,0.0006532493720326508,0.17284136725807975,0.7935185185185187,0.004666666666666666
prob_overall_risk,actual_risk,고변동,"(0.2, 0.3]",565,0.2176991150442478,0.2467970670342765,0.0007024184100227966,0.18724828573742958,0.7758230088495576,0.008070796460176992
prob_overall_risk,actual_risk,고변동,"(0.3, 0.4]",380,0.28157894736842104,0.34491509374548757,8.052497234733754e-06,-0.004788072372420071,0.7736842105263158,0.015894736842105267
prob_overall_risk,actual_risk,고변동,"(0.4, 0.5]",367,0.35967302452316074,0.4453515286802005,0.000880795217777237,0.23773386709776512,0.7732970027247958,0.020599455040871937
prob_overall_risk,actual_risk,고변동,"(0.5, 0.6]",304,0.5,0.5521434324588753,0.0006130346038148983,0.15574222024990703,0.7346052631578947,0.032894736842105275
prob_overall_risk,actual_risk,고변동,"(0.6, 0.7]",333,0.5495495495495496,0.6476898081043634,0.0003026925982194058,0.06738489776147505,0.7088888888888887,0.056216216216216204
prob_overall_risk,actual_risk,고변동,"(0.7, 0.8]",303,0.6831683168316832,0.7475381795616471,0.001681905866876119,0.5107386741602233,0.6173597359735973,0.07023102310231023
prob_overall_risk,actual_risk,고변동,"(0.8, 0.9]",331,0.8368580060422961,0.8530255539741869,3.3924846966378036e-06,-0.005237762007594737,0.40652567975830817,0.07637462235649545
prob_overall_risk,actual_risk,고변동,"(0.9, 1.0]",210,0.9285714285714286,0.9194091234051825,0.0006065328738532048,0.15472314540268073,0.3005714285714287,0.0022857142857142837
prob_down,actual_direction,하락,"(0.2, 0.3]",65,0.38461538461538464,0.27197727967533586,0.0007253477731154198,0.19291072068343862,0.4806153846153847,0.02584615384615384
prob_down,actual_direction,하락,"(0.3, 0.4]",576,0.2986111111111111,0.35527731157069486,0.0005312354071750574,0.13397212733780672,0.7043750000000001,0.035138888888888886
prob_down,actual_direction,하락,"(0.4, 0.5]",1403,0.33071988595866003,0.4517569774842033,0.0005745142708601547,0.14612952355893039,0.7166928011404134,0.02765502494654312
prob_down,actual_direction,하락,"(0.5, 0.6]",1045,0.24401913875598086,0.5409654183269504,0.0007771813339027823,0.20848993533418292,0.6790047846889952,0.026411483253588514
prob_down,actual_direction,하락,"(0.6, 0.7]",238,0.38235294117647056,0.6368765416548458,-0.00019797334274608046,-0.05626279874821327,0.6037815126050421,0.029411764705882353
prob_down,actual_direction,하락,"(0.7, 0.8]",30,0.06666666666666667,0.7328883420516595,0.0017401512680278398,0.5432984446456697,0.40733333333333344,0.03733333333333332
prob_up,actual_direction,상승,"(0.2, 0.3]",37,0.7567567567567568,0.2899532366346204,0.0006287775494775035,0.16663996826246064,0.517837837837838,0.01837837837837837
prob_up,actual_direction,상승,"(0.3, 0.4]",410,0.6365853658536585,0.36197659345093197,0.00033144511538634944,0.08094515704162708,0.6613170731707316,0.023707317073170732
prob_up,actual_direction,상승,"(0.4, 0.5]",1117,0.5998209489704566,0.45653184903985017,0.0005325410184009757,0.13690266876496837,0.6698657117278425,0.020913160250671442
prob_up,actual_direction,상승,"(0.5, 0.6]",1229,0.5467860048820179,0.5459163644244492,0.0006359812176746292,0.16301260504161896,0.7154434499593166,0.035215622457282346
prob_up,actual_direction,상승,"(0.6, 0.7]",500,0.604,0.6386710728078685,0.0008999477039482924,0.24217198556314723,0.72208,0.03096
prob_up,actual_direction,상승,"(0.7, 0.8]",64,0.5,0.725914967339891,-0.00014337897642841284,-0.039694533787490105,0.45468750000000013,0.06125
prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,"(-0.001, 0.1]",1257,0.0294351630867144,0.061306449143451104,0.00040824857011831795,0.10273842573345204,0.7184566428003183,0.008337311058074781
prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,"(0.1, 0.2]",658,0.057750759878419454,0.14219242486424322,0.0004810924945120097,0.12178076440802332,0.6468996960486323,0.019939209726443773
prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,"(0.2, 0.3]",295,0.1694915254237288,0.24321086741915698,0.0003399582146283636,0.08162729822800108,0.6265084745762712,0.03972881355932203
prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,"(0.3, 0.4]",184,0.31521739130434784,0.3466669135104828,0.00011610485317734722,0.02060930391943483,0.7089130434782609,0.05695652173913044
prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,"(0.4, 0.5]",198,0.43434343434343436,0.44880662571097296,0.0005155177284981322,0.12444329376621965,0.7275757575757575,0.07858585858585858
prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,"(0.5, 0.6]",204,0.43137254901960786,0.5524395064806439,0.0013157990785318465,0.37089389329009315,0.6903921568627451,0.03529411764705882
prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,"(0.6, 0.7]",256,0.58984375,0.6490245447163407,0.0019325614866402205,0.608619302379142,0.6510156250000001,0.050624999999999996
prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,"(0.7, 0.8]",230,0.5478260869565217,0.7500645408224561,3.4843064600579e-05,0.0002193702507109485,0.6949565217391306,0.044
prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,"(0.8, 0.9]",75,0.9066666666666666,0.8319063242405975,0.0020240086689203257,0.6508753707349892,0.7005333333333332,0.06400000000000002
