,importance
realized_vol_60,0.044564638492981125
ulcer_index_60,0.04214303179146049
downside_vol_60,0.0410647616261572
atr_rank_252,0.03910603460503302
parkinson_vol_60,0.03827978022826077
yang_zhang_vol_60,0.03816984036902362
atr_pct_60,0.03715095298303779
downside_vol_20,0.036968905049939674
bb_width_20,0.036104110396399124
vol_of_vol_20,0.03566779121701118
ewma_vol_60,0.03529339660992033
atr_ratio_20_60,0.03413021646843441
atr_ratio_14_60,0.033962065776226125
bb_width_rank_252,0.03354399061064459
ulcer_rank_252,0.03323121619319459
realized_vol_20,0.03306504281788385
ulcer_index_20,0.03225876996195496
realized_vol_10,0.03097756039873246
semi_vol_20,0.03023718522644996
rogers_satchell_vol_20,0.028337183520408062
ewma_vol_20,0.027588434954893836
garman_klass_vol_20,0.027484577968801924
realized_vol_ratio_10_20,0.026964001453817464
downside_vol_10,0.026810358318269008
yang_zhang_vol_20,0.026007309157172302
semi_vol_10,0.024036672733465877
parkinson_vol_20,0.023008155475292284
atr_pct_10,0.021661561745863835
keltner_width_20,0.01897820376429341
atr_pct_5,0.018587072629391816
atr_pct_14,0.018062759981913833
atr_pct_20,0.017451747754251748
true_range_pct,0.009102670652383595
