,importance
ma_gap_60_120,0.04353658077565746
trend_slope_60,0.04136648950086618
ma200_slope_60,0.03983249211044509
ma_gap_50_200,0.03862369691468923
return_120d,0.03844183924853236
price_ma_120_gap,0.03781558351571827
ma_gap_20_60,0.03531128586184913
return_60d,0.03496006013642727
price_ma_200_gap,0.034524468619247996
positive_return_ratio_60,0.03276807454780543
down_volume_ratio_20,0.03235491248524918
high_volume_down_ratio_20,0.030843362042177764
price_position_60,0.02914643768888218
drawdown_60,0.028661543461826762
large_down_day_ratio_20,0.02688933181990352
price_ma_60_gap,0.02684063239423036
positive_return_ratio_20,0.0238760711751335
trend_slope_20,0.023813854196002165
return_20d,0.022796795226837738
large_up_day_ratio_10,0.0225966692765175
ma_gap_5_20,0.021783585944860302
trend_consistency_60,0.02171181281451099
close_to_60d_high,0.021368340713836784
drawdown_120,0.020335350229230706
large_up_day_ratio_20,0.019593821119621956
trend_slope_10,0.019355668123800625
drawdown_10,0.01854497967138337
drawdown_20,0.017457104689258682
price_ma_20_gap,0.016570663268303466
trend_slope_5,0.01644987848080096
return_10d,0.015184777075023342
positive_return_ratio_10,0.015166494669785376
price_position_10_minus_20,0.014294740600610293
return_5d,0.01287081287329697
volume_ratio_20,0.011138139397348461
price_position_5_minus_20,0.01057272946560434
volume_shock_rank_252,0.010465468245254468
large_down_day_ratio_10,0.010142871862106924
drawdown_5,0.009900587550506074
trend_consistency_20,0.00973151472568307
price_position_10,0.009695872423190083
price_position_20,0.008864025754952482
volume_zscore_20,0.007764433356449387
close_to_20d_high,0.0058232244087516195
close_to_10d_high,0.0055990462937015335
bearish_ma_stack,0.004613875105167695
