fold,train_start,train_end,test_start,test_end,train_rows,test_rows,base_lt25,tier1,tier2,tier3,full,train_score,train_cagr,train_mdd,train_sharpe,train_annual_turnover,oos_cagr_segment,oos_mdd_segment,oos_sharpe_segment,oos_avg_stock_weight,oos_annual_turnover_segment
0,2013-01-02 00:00:00,2015-12-31 00:00:00,2016-01-04 00:00:00,2016-04-04 00:00:00,756,63,0.76,0.8,0.86,0.92,0.98,0.34628122844237863,0.1588093455736499,-0.09206384451999039,1.4908976740984394,4.813333333333334,0.05767738347487561,-0.05251615967550416,0.5283059841470825,0.5428571428571429,16.0
1,2013-04-04 00:00:00,2016-04-04 00:00:00,2016-04-05 00:00:00,2016-07-01 00:00:00,756,63,0.76,0.78,0.84,0.92,0.98,0.2333207182149757,0.15644069393068993,-0.09145615584761035,1.4390576647183237,5.866666666666667,-0.032910120331186676,-0.07133209707568078,-0.15713469172566807,0.8704761904761905,4.479999999999999
2,2013-07-03 00:00:00,2016-07-01 00:00:00,2016-07-05 00:00:00,2016-09-30 00:00:00,756,63,0.76,0.78,0.84,0.92,0.98,0.12661287613656286,0.13691312453014048,-0.09145615584761013,1.239117275561992,5.88,0.32281501866645934,-0.024956933960154082,3.465239809347907,0.7628571428571429,4.16
3,2013-10-02 00:00:00,2016-09-30 00:00:00,2016-10-03 00:00:00,2016-12-30 00:00:00,756,63,0.76,0.78,0.84,0.92,0.98,0.08744448677664185,0.13862905399236247,-0.09145615584761013,1.2515001158312116,6.453333333333333,0.0429519504409035,-0.039023424077098245,0.4765126524820748,0.8063492063492061,4.8
4,2014-01-02 00:00:00,2016-12-30 00:00:00,2017-01-03 00:00:00,2017-04-03 00:00:00,756,63,0.76,0.78,0.84,0.92,0.98,-0.03731556280926085,0.11602655459730649,-0.09145615584761047,1.06015746419599,6.746666666666667,0.35097104950945424,-0.010993510238671567,6.222912114121851,0.7523809523809523,0.6399999999999997
5,2014-04-03 00:00:00,2017-04-03 00:00:00,2017-04-04 00:00:00,2017-07-03 00:00:00,756,63,0.78,0.78,0.84,0.92,0.98,0.12520335409450123,0.14479465396532265,-0.09145615584761035,1.3205908639722987,6.373333333333333,0.11949702130200479,-0.03571564751738576,1.3341531712489603,0.701587301587302,3.6800000000000006
6,2014-07-03 00:00:00,2017-07-03 00:00:00,2017-07-05 00:00:00,2017-10-02 00:00:00,756,63,0.76,0.78,0.84,0.98,0.98,0.05415521501692311,0.1240667899255925,-0.09238154846344715,1.1503622276223775,6.093333333333334,0.1420873587548408,-0.018353214820963193,1.9427385742901169,0.6587301587301589,6.08
7,2014-10-02 00:00:00,2017-10-02 00:00:00,2017-10-03 00:00:00,2018-01-02 00:00:00,756,63,0.78,0.78,0.84,0.98,0.98,0.06260796792379353,0.13006295406979085,-0.09238154846344704,1.2059329673359498,6.333333333333333,0.30863395878510236,-0.018863682203930643,3.4640023464647642,0.7288888888888891,2.24
8,2015-01-02 00:00:00,2018-01-02 00:00:00,2018-01-03 00:00:00,2018-04-04 00:00:00,756,63,0.78,0.78,0.84,0.98,0.98,0.1058496160991137,0.13441474816667975,-0.09238154846344682,1.2675072366569415,6.12,-0.15142809139924474,-0.08892980901768133,-0.9461058033225568,0.603174603174603,9.280000000000001
9,2015-04-06 00:00:00,2018-04-04 00:00:00,2018-04-05 00:00:00,2018-07-03 00:00:00,756,63,0.78,0.78,0.84,0.98,0.98,-0.06429442086376685,0.101214557914872,-0.09238154846344704,0.9369989270155398,6.093333333333334,0.34621420184564156,-0.027167485961507754,3.1931071440754133,0.6825396825396824,14.240000000000002
