Date,Close,pred_label,prob_상승,prob_하락,prob_횡보,prob_고변동,prob_불확실,stock_weight,bond_weight,cash_weight,allocation_reason,qqq_next_month_return,bond_monthly_return,cash_monthly_return,strategy_return,benchmark_return,strategy_capital,benchmark_capital,strategy_cumulative_return,benchmark_cumulative_return
2021-01-29,304.8734436035156,상승,45.5974,4.7578,21.2101,28.4348,0.0,0.6,0.25,0.15,상승 우세: 중간 수준 주식 비중,-0.001335022606896663,0.0,0.0,-0.0008010135641379979,-0.001335022606896663,99919898.6435862,99866497.73931034,-0.0008010135641379756,-0.001335022606896663
2021-02-26,304.4664306640625,상승,43.7957,4.9836,15.949,35.2717,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,0.01716760437962006,0.0,0.0,0.00858380218981003,0.01716760437962006,100777591.2883686,101580966.26327704,0.007775912883686065,0.015809662632770394
2021-03-31,309.6933898925781,상승,40.6112,9.0795,18.2929,32.0164,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,0.05909815232173554,0.0,0.0,0.02954907616086777,0.05909815232173554,103755476.0086574,107584213.68049327,0.03755476008657399,0.07584213680493268
2021-04-30,327.9956970214844,상승,62.0417,4.8415,22.9172,10.1995,0.0,0.75,0.15,0.1,"상승 확률 60% 이상, 하락 확률 25% 미만: 주식 비중 확대",-0.012012174068222414,0.0,0.0,-0.00900913055116681,-0.012012174068222414,102820729.37989694,106291893.37877035,0.02820729379896947,0.06291893378770341
2021-05-28,324.0557556152344,상승,43.952,8.3707,18.7859,28.8914,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,0.06262118408736916,0.0,0.0,0.03131059204368458,0.06262118408736916,106040107.291145,112948017.60103734,0.060401072911449916,0.12948017601037343
2021-06-30,344.3485107421875,상승,42.3448,10.6125,28.8397,18.203,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,0.028609367284164078,0.0,0.0,0.014304683642082039,0.028609367284164078,107556977.47931728,116179388.92060365,0.07556977479317273,0.16179388920603643
2021-07-30,354.2001037597656,상승,39.519,13.4006,19.8758,27.2045,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,0.042186791475655516,0.0,0.0,0.021093395737827758,0.042186791475655516,109825719.36965315,121080624.57476623,0.09825719369653152,0.21080624574766227
2021-08-31,369.1426696777344,상승,48.7945,11.3067,23.0661,16.8327,0.0,0.6,0.25,0.15,상승 우세: 중간 수준 주식 비중,-0.05683153044704525,0.0,0.0,-0.03409891826822715,-0.05683153044704525,106080781.1411181,114199427.37269816,0.06080781141118097,0.14199427372698148
2021-09-30,348.1637268066406,상승,50.2427,6.887,16.8673,26.003,0.0,0.6,0.25,0.15,상승 우세: 중간 수준 주식 비중,0.07863977345568873,0.0,0.0,0.04718386407341324,0.07863977345568873,111086082.2992821,123180044.47005652,0.11086082299282096,0.23180044470056527
2021-10-29,375.5432434082031,상승,37.7423,7.0755,30.0522,25.1301,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,0.019968712317060877,0.0,0.0,0.009984356158530439,0.019968712317060877,112195205.30921397,125639791.34128185,0.12195205309213963,0.2563979134128185
2021-11-30,383.0423583984375,상승,40.3021,7.1493,17.1466,35.4021,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,0.011523533541563102,0.0,0.0,0.005761766770781551,0.011523533541563102,112841647.91500562,127087605.6909581,0.12841647915005616,0.27087605690958094
2021-12-31,387.4563598632813,상승,38.7058,12.144,18.0079,31.1423,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,-0.08747031585115839,0.0,0.0,-0.04373515792557919,-0.08747031585115839,107906500.62286025,115971212.68040252,0.07906500622860246,0.15971212680402513
2022-01-31,353.5654296875,고변동,30.2506,9.2026,21.4941,39.0527,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,-0.04475992332571932,0.0,0.0,-0.02237996166285966,-0.04475992332571932,105491557.2757473,110780350.092837,0.05491557275747305,0.10780350092836999
2022-02-28,337.7398681640625,고변동,36.899,7.1641,14.0724,41.8645,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,0.04667915417464075,0.0,0.0,0.023339577087320373,0.04667915417464075,107953685.60884607,115951483.13434123,0.07953685608846062,0.15951483134341227
2022-03-31,353.5052795410156,상승,58.6179,8.3842,13.993,19.0049,0.0,0.6,0.25,0.15,상승 우세: 중간 수준 주식 비중,-0.13595762168799652,0.0,0.0,-0.08157457301279791,-0.13595762168799652,99147409.80014662,100186995.25620036,-0.008525901998533758,0.0018699525620036184
2022-04-29,305.44354248046875,고변동,32.1678,3.9131,9.9576,53.9615,0.0,0.3,0.3,0.4,고변동 확률 50% 이상: 현금 비중 확대,-0.01586587927752192,0.0,0.0,-0.004759763783256576,-0.01586587927752192,98675491.54977618,98597440.48428783,-0.013245084502238158,-0.014025595157121762
2022-05-31,300.597412109375,고변동,37.1968,2.6914,3.5795,56.5323,0.0,0.3,0.3,0.4,고변동 확률 50% 이상: 현금 비중 확대,-0.08907899877116454,0.0,0.0,-0.026723699631349362,-0.08907899877116454,96038517.35262421,89814479.20454799,-0.039614826473757914,-0.10185520795452019
2022-06-30,273.82049560546875,고변동,39.0874,1.7419,3.804,55.3666,0.0,0.3,0.3,0.4,고변동 확률 50% 이상: 현금 비중 확대,0.1255176064775343,0.0,0.0,0.03765528194326029,0.1255176064775343,99654874.80094996,101087777.66132912,-0.003451251990500337,0.010877776613291257
2022-07-29,308.1897888183594,상승,55.0773,6.7035,7.049,31.1702,0.0,0.6,0.25,0.15,상승 우세: 중간 수준 주식 비중,-0.05132202825237109,0.0,0.0,-0.03079321695142265,-0.05132202825237109,96586180.62093744,95899747.88022497,-0.03413819379062566,-0.041002521197750275
2022-08-31,292.37286376953125,상승,54.1655,4.0784,11.5162,30.2399,0.0,0.6,0.25,0.15,상승 우세: 중간 수준 주식 비중,-0.10535522563914901,0.0,0.0,-0.0632131353834894,-0.10535522563914901,90480665.30917196,85796208.30356637,-0.09519334690828041,-0.14203791696433632
2022-09-30,261.5698547363281,고변동,31.7879,9.2302,13.793,45.1889,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,0.03999838527539157,0.0,0.0,0.019999192637695784,0.03999838527539157,92290205.56467699,89227918.09846017,-0.07709794435323014,-0.10772081901539832
2022-10-31,272.0322265625,고변동,38.4862,7.9416,12.9509,40.6213,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,0.055441514605418574,0.0,0.0,0.027720757302709287,0.055441514605418574,94848559.95455256,94174849.02292705,-0.05151440045447442,-0.05825150977072957
2022-11-30,287.1141052246094,상승,50.4287,5.7718,11.1015,32.698,0.0,0.6,0.25,0.15,상승 우세: 중간 수준 주식 비중,-0.09013658894863019,0.0,0.0,-0.054081953369178114,-0.09013658894863019,89718964.55795676,85686249.36724816,-0.1028103544204324,-0.14313750632751843
2022-12-30,261.234619140625,상승,48.4454,7.2246,12.5963,31.7338,0.0,0.6,0.25,0.15,상승 우세: 중간 수준 주식 비중,0.10642938383221945,0.0,0.0,0.06385763029933167,0.10642938383221945,95448205.0275376,94805784.0902983,-0.045517949724623974,-0.05194215909701705
2023-01-31,289.03765869140625,상승,47.0997,6.0733,12.302,34.5249,0.0,0.6,0.25,0.15,상승 우세: 중간 수준 주식 비중,-0.0035981766169517204,0.0,0.0,-0.002158905970171032,-0.0035981766169517204,95242141.32786155,94464656.13483281,-0.047578586721384486,-0.05535343865167186
2023-02-28,287.9976501464844,상승,43.2231,8.0149,14.0194,34.7426,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,0.09492729074704775,0.0,0.0,0.04746364537352388,0.09492729074704775,99762680.54846223,103431930.01306398,-0.0023731945153777634,0.034319300130639885
2023-03-31,315.33648681640625,상승,37.8523,9.6582,17.7519,34.7376,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,0.005079190387717203,0.0,0.0,0.0025395951938586014,0.005079190387717203,100016037.37250957,103957280.47776937,0.00016037372509569714,0.03957280477769376
2023-04-28,316.9381408691406,상승,41.8898,9.1733,18.4381,30.4988,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,0.0788380528141881,0.0,0.0,0.03941902640709405,0.0788380528141881,103958572.19082941,112153070.04649512,0.039585721908294014,0.12153070046495129
2023-05-31,341.9249267578125,고변동,34.7416,10.1534,18.414,36.691,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,0.06303834741912784,0.0,0.0,0.03151917370956392,0.06303834741912784,107235260.48631041,119223014.24020787,0.07235260486310402,0.1922301424020787
2023-06-30,363.4793090820313,상승,43.5984,9.0185,16.5112,30.8719,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,0.038601098695351554,0.0,0.0,0.019300549347675777,0.038601098695351554,109304959.92313729,123825153.57965143,0.0930495992313729,0.23825153579651426
2023-07-31,377.510009765625,상승,42.4132,12.4995,19.161,25.9262,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,-0.014829937120096504,0.0,0.0,-0.007414968560048252,-0.014829937120096504,108494467.0818499,121988834.3381789,0.0849446708184991,0.2198883433817891
2023-08-31,371.91156005859375,상승,38.3873,9.1773,20.943,31.4924,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,-0.05079890550413657,0.0,0.0,-0.025399452752068286,-0.05079890550413657,105738766.99134363,115791935.07007398,0.05738766991343636,0.1579193507007397
2023-09-29,353.01885986328125,상승,50.5497,8.3742,18.7157,22.3605,0.0,0.6,0.25,0.15,상승 우세: 중간 수준 주식 비중,-0.02065471490410986,0.0,0.0,-0.012392828942465916,-0.02065471490410986,104428364.53943264,113400285.6630064,0.0442836453943265,0.13400285663006395
2023-10-31,345.72735595703125,상승,38.8839,8.4769,18.3848,34.2543,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,0.10818821491502106,0.0,0.0,0.05409410745751053,0.10818821491502106,110077323.7124408,125668860.13974051,0.10077323712440811,0.256688601397405
2023-11-30,383.1309814453125,상승,48.5443,10.3213,24.6746,16.4597,0.0,0.6,0.25,0.15,상승 우세: 중간 수준 주식 비중,0.055869734012742533,0.0,0.0,0.03352184040764552,0.055869734012742533,113767318.19042999,132689945.92943236,0.13767318190429978,0.3268994592943235
