,importance
atr_pct_20,0.13291785426346386
atr_pct_14,0.11564433831344581
yang_zhang_vol_20,0.08005490632883666
rogers_satchell_vol_20,0.06418232799045481
atr_pct_60,0.03346777756676255
semi_vol_20,0.03197458481285832
ewma_vol_20,0.02989486233023594
parkinson_vol_20,0.02956071093276911
downside_vol_60,0.028934034770091308
realized_vol_20,0.02515130935768996
yang_zhang_vol_60,0.02487657346829933
garman_klass_vol_20,0.02320168383974284
keltner_width_20,0.022977777322098734
ewma_vol_60,0.02232428594184707
downside_vol_20,0.01841468054633532
drawdown_120,0.01495377497901375
parkinson_vol_60,0.014882787480711982
realized_vol_60,0.014109263875698594
return_10d,0.010785068537751656
atr_rank_252,0.010077756720073964
price_ma_20_gap,0.010008780749298498
price_position_20,0.009032573469171655
price_ma_10_gap,0.00872102421063963
squeeze_on,0.008351987333125657
drawdown_20,0.008101066019575921
return_120d,0.007752867195882746
ma200_slope_60,0.007535801124980762
price_ma_200_gap,0.00722790505633817
price_position_60,0.007164222061972293
bb_width_20,0.007145955000721317
ma_gap_50_200,0.006844731823505191
ma_gap_5_20,0.006783424967660981
return_20d,0.006774225222735757
close_to_60d_high,0.006719554445253163
bb_width_rank_252,0.006648256397359849
close_to_20d_high,0.00654668084257537
price_ma_120_gap,0.006473452436434205
trend_slope_20,0.006462386080264488
positive_return_ratio_60,0.006408913196017758
atr_ratio_14_60,0.006375276606446857
ma_gap_20_60,0.00583504043594357
ma_gap_60_120,0.005701841288966881
ulcer_index_60,0.005508006789265589
parkinson_vol_ratio_20_60,0.005448591612613589
drawdown_60,0.005400432798307433
atr_ratio_20_60,0.0052746611061030265
vol_of_vol_20,0.005157980109201855
large_down_day_ratio_20,0.005128457428451752
price_ma_60_gap,0.005043615279207968
trend_slope_60,0.005028533316839284
ulcer_index_20,0.004629001339535101
realized_vol_ratio_20_60,0.004574002124086075
large_up_day_ratio_20,0.004300089549349737
ulcer_rank_252,0.004061321486785475
return_5d,0.0038169174897629567
true_range_pct,0.0037165513509329513
yang_zhang_vol_ratio_20_60,0.003636732148727279
atr_accel_5,0.003549803215870876
volume_zscore_20,0.003393674908390191
return_3d,0.003246141093779356
return_60d,0.003103246413745962
positive_return_ratio_20,0.0029907678659891906
price_ma_5_gap,0.002589656653104352
volume_ratio_20,0.002546211520108868
daily_return,0.00042719092302723725
volume_change,0.0003769855745109193
log_return,4.910595143450164e-05
squeeze_release,0.0
