start_date,trough_date,recovery_date,depth,duration_days,days_to_trough,avg_stock_weight,avg_prob_high_vol,avg_risk_score,trough_regime
2015-02-20,2016-06-23,2017-02-10,-0.25441141264741185,721,489,0.7297989750410547,0.418178700071538,0.44893915446555277,HIGH_VOL
2021-12-31,2022-12-23,2023-05-30,-0.23050576871061457,515,357,0.6379783110325343,0.46345379991799374,0.5056630674936513,WATCH
2018-10-02,2018-12-31,2019-04-18,-0.1995613027426596,198,90,0.6102016874593411,0.381184798739207,0.49285528160951614,HIGH_VOL
2020-02-11,2020-03-10,2020-06-05,-0.185025341546444,115,28,0.5756372227480054,0.5282729910535786,0.5525570162781567,WATCH
2013-01-03,2013-06-25,2013-08-15,-0.18186082069272458,224,173,0.5980408690313525,0.3628488732985401,0.5103059086245082,HIGH_VOL
2021-01-25,2021-05-10,2021-08-12,-0.17173576658927714,199,105,0.85349509252019,0.345951734308024,0.38374448189250443,NORMAL
2024-12-24,2025-04-04,2025-09-17,-0.1712000586840332,267,101,0.6599949073788114,0.34572542409470064,0.4483857170137699,HIGH_VOL
2020-08-31,2020-10-28,2021-01-21,-0.14686087567140516,143,58,0.5662383189317639,0.7019978715558124,0.6435083804025501,HIGH_VOL
2023-07-28,2023-10-24,2023-12-11,-0.14026341803571563,136,88,0.8556192153294653,0.15216411789208092,0.2752436941096432,NORMAL
2023-12-13,2024-04-17,2024-06-07,-0.1397280792891844,177,126,0.7576327093192978,0.23782176296718704,0.332568330247679,WATCH
