feature,importance
vol_rank_20_252,0.05434013162615948
ma200_slope_60,0.05079142088317765
vol_rank_60_252,0.04950294052703982
downside_vol_60,0.046577604381425254
ma_gap_20_60,0.04589153976237352
ma_gap_50_200,0.04469852138566167
ma_gap_60_120,0.04451376395876956
realized_vol_60,0.04427817325386944
downside_vol_20,0.04364851560542541
atr_pct_20,0.04188358761469083
atr_pct_60,0.04116538021944265
atr_pct_14,0.04072818629015072
price_ma_120_gap,0.03732838846776074
atr_rank_252,0.03293435378371021
realized_vol_20,0.030086407724322868
positive_return_ratio_60,0.030019221481232518
price_ma_60_gap,0.025736886600240556
return_120d,0.024392047137190974
atr_pct_10,0.022460112572015075
return_60d,0.021851857589450623
return_60d_over_vol60,0.021291934225741212
high_volume_down_ratio_20,0.01934631881757384
return_20d_over_hvol,0.01832128090338897
price_ma_20_gap,0.01578792111651428
drawdown_60,0.014370587586417002
price_position_60,0.014284651561648445
drawdown_60_over_vol60,0.014156705275408726
drawdown_120,0.013077760510871896
price_position_20,0.013033387311112261
down_volume_ratio_20,0.010906417724322033
price_position_120,0.010366573478548533
drawdown_20,0.00968045299559568
return_10d,0.008446043221263496
close_to_60d_high,0.007621547054763125
return_20d,0.007159312216532046
return_5d,0.0070771276003030025
trend_slope_60,0.005812119612206532
volume_ratio_20,0.00350865344176959
close_to_120d_high,0.0034454861466270107
volume_zscore_20,0.0027866273277760605
positive_return_ratio_20,0.0026488004095720505
true_range_pct,0.0018596108508321036
trend_slope_20,0.0012255698046853057
close_to_20d_high,0.0009560593098929498
