start_date,trough_date,recovery_date,depth,duration_days,days_to_trough,avg_stock_weight,avg_prob_high_vol,avg_risk_score,trough_regime
2021-11-18,2022-11-01,2024-01-17,-0.32349497460639154,790,348,0.6681181515783305,0.47803283956182124,0.4898187566859055,WATCH
2015-07-17,2016-06-23,2017-01-05,-0.15744456945763285,538,342,0.8289798606055798,0.32249506412479695,0.32023097065648964,CUSTOM_UP
2024-07-09,2024-08-05,2024-12-12,-0.12959522170328597,156,27,0.8215824173619215,0.3956813085648353,0.35890660311452244,HIGH_VOL
2020-02-18,2020-03-10,2020-06-01,-0.12796653182427298,104,21,0.4555041215035208,0.7063512362899125,0.687010191208263,EXTREME_RISK
2018-08-28,2018-12-20,2019-04-10,-0.11504466733813679,225,114,0.6076073842340696,0.5544437936571349,0.5413060624670302,HIGH_VOL
2024-12-13,2025-04-04,2025-07-01,-0.11253441036078926,200,112,0.6796424812783108,0.4627795775133236,0.4548687099783579,EXTREME_RISK
2020-09-01,2020-10-28,2021-01-15,-0.09899464795979007,136,57,0.6531296456035929,0.6576825908253046,0.5417132697639496,HIGH_VOL
2018-01-25,2018-02-06,2018-06-12,-0.09537128010976892,138,12,0.7621718731960817,0.5055918739924267,0.4447354938094609,CUSTOM_UP
2025-10-28,2026-03-26,2026-04-20,-0.09181843302120618,174,149,0.8524214531015912,0.25449439455336736,0.2769754692513071,HIGH_VOL
2021-02-11,2021-03-04,2021-04-09,-0.08814170909640195,57,21,0.7467304134018927,0.5778033161872304,0.5041504415603308,HIGH_VOL
