,importance
atr_pct_14,0.09153693417985258
semi_vol_20,0.08063837960209985
ewma_vol_20,0.07727575820202522
atr_pct_20,0.05116177313279228
rogers_satchell_vol_20,0.0432629982865148
parkinson_vol_20,0.039932685374099365
garman_klass_vol_20,0.03315736983010235
downside_vol_20,0.020007401554938128
realized_vol_20,0.019762326938949366
downside_vol_60,0.019538195184958612
close_to_20d_high,0.01778171131428237
yang_zhang_vol_60,0.016327301039598837
drawdown_20,0.015135341696025404
parkinson_vol_60,0.015128943105948912
drawdown_60,0.014563870847095609
price_position_20,0.013878703307758164
atr_rank_252,0.01315557284882137
yang_zhang_vol_20,0.01315046252403547
return_120d,0.012937977799170074
ewma_vol_60,0.012688929320748207
keltner_width_20,0.01221507275217196
price_ma_120_gap,0.011492830883417767
return_10d,0.011436686266062594
ma200_slope_60,0.011131025520236497
atr_pct_60,0.011048042574354136
price_ma_20_gap,0.010958159282598075
return_20d,0.010921760380212964
price_ma_200_gap,0.010684469209601437
vol_of_vol_20,0.010658800010181343
true_range_pct,0.010633069625847773
atr_ratio_14_60,0.010612703742524553
price_position_60,0.010538921120314626
price_ma_10_gap,0.010436317029026603
drawdown_120,0.010353633713748422
positive_return_ratio_60,0.010301987127777898
close_to_60d_high,0.009957893266411182
ulcer_index_60,0.00993185629236645
realized_vol_60,0.00972502080271841
ma_gap_60_120,0.00964456103282005
ma_gap_50_200,0.009564312957601422
bb_width_20,0.00930168773906882
trend_consistency_60,0.009055311625984143
atr_ratio_20_60,0.008918112693382205
ma_gap_5_20,0.0084931707822848
ulcer_index_20,0.008433176662601042
return_5d,0.008301403903726082
price_ma_60_gap,0.008214314222641406
ma_gap_20_60,0.007954689146572491
trend_slope_60,0.007831168087813282
large_up_day_ratio_20,0.0077267377225022455
trend_slope_20,0.007434742954068324
bb_width_rank_252,0.0073514513307513666
volume_zscore_20,0.006880640924767552
atr_accel_5,0.006852552044100386
return_60d,0.006762650761461806
ulcer_rank_252,0.006542494129375666
down_volume_ratio_20,0.005571702947755901
volume_shock_rank_252,0.005559515024764377
volume_ratio_20,0.005289811441473701
high_volume_down_ratio_20,0.005033028265643225
positive_return_ratio_20,0.003985970808584972
large_down_day_ratio_20,0.0037820464134970927
volume_shock_20,0.0032300655785612825
lower_high_20,0.0023353145093475782
daily_return,0.0019546087456598386
trend_consistency_20,0.0018154001744068026
volume_change,0.0013274118588404754
bearish_ma_stack,0.0007910586436559069
