feature,stage1_importance,downrisk_importance,mean_importance,max_importance,importance_gap_stage1_minus_downrisk,is_low_importance_candidate,used_more_by,stage1_rank,downrisk_rank,mean_rank
atr_pct_14,0.09168034098166529,0.0034630187985876257,0.04757167989012646,0.09168034098166529,0.08821732218307766,False,stage1,1,59,1
semi_vol_20,0.08055728117774595,0.005020661777250035,0.042788971477497995,0.08055728117774595,0.07553661940049591,False,stage1,2,56,2
ewma_vol_20,0.07711678398655272,0.006107644506276797,0.04161221424641476,0.07711678398655272,0.07100913948027593,False,stage1,3,53,3
atr_pct_20,0.05157436397400618,0.005480830809839068,0.028527597391922625,0.05157436397400618,0.04609353316416711,False,stage1,4,55,4
rogers_satchell_vol_20,0.04318460097021584,0.010111150584143904,0.026647875777179874,0.04318460097021584,0.033073450386071936,False,stage1,5,33,5
price_ma_120_gap,0.011516804654439468,0.041224239596717616,0.02637052212557854,0.041224239596717616,-0.02970743494227815,False,downrisk,22,3,6
price_ma_200_gap,0.01066201020425762,0.04108601312797329,0.025874011666115457,0.04108601312797329,-0.03042400292371567,False,downrisk,29,4,7
parkinson_vol_20,0.04003314776387664,0.009834924721785467,0.024934036242831054,0.04003314776387664,0.030198223042091174,False,stage1,6,34,8
ma_gap_60_120,0.009651384780660183,0.04009795243542786,0.02487466860804402,0.04009795243542786,-0.03044656765476768,False,downrisk,39,5,9
large_up_day_ratio_20,0.007763251058696326,0.04146920979298927,0.024616230425842798,0.04146920979298927,-0.03370595873429295,False,downrisk,50,1,10
trend_slope_60,0.007820277572699567,0.041351239818761806,0.024585758695730688,0.041351239818761806,-0.03353096224606224,False,downrisk,49,2,11
ma200_slope_60,0.011132348323978173,0.03722000119760485,0.02417617476079151,0.03722000119760485,-0.02608765287362668,False,downrisk,24,9,12
ma_gap_50_200,0.009539312623452307,0.03829196923216509,0.023915640927808696,0.03829196923216509,-0.028752656608712783,False,downrisk,40,6,13
positive_return_ratio_60,0.010326530700521766,0.036765919225573755,0.02354622496304776,0.036765919225573755,-0.02643938852505199,False,downrisk,35,10,14
ma_gap_20_60,0.00796417883213421,0.037923658090808665,0.022943918461471438,0.037923658090808665,-0.029959479258674454,False,downrisk,48,8,15
trend_slope_20,0.007370116104799048,0.03803436080192182,0.022702238453360432,0.03803436080192182,-0.03066424469712277,False,downrisk,51,7,16
trend_consistency_60,0.008934566025085846,0.034640709467653547,0.021787637746369697,0.034640709467653547,-0.0257061434425677,False,downrisk,42,11,17
return_120d,0.012942229884737614,0.02769110675561784,0.020316668320177728,0.02769110675561784,-0.014748876870880225,False,downrisk,19,13,18
garman_klass_vol_20,0.033193273684619704,0.006391165724760858,0.01979221970469028,0.033193273684619704,0.026802107959858844,False,stage1,7,51,19
price_ma_60_gap,0.008197269798897434,0.0306733525424933,0.019435311170695368,0.0306733525424933,-0.022476082743595867,False,downrisk,47,12,20
drawdown_20,0.015113625204581435,0.021495690686582334,0.018304657945581886,0.021495690686582334,-0.0063820654820008985,False,downrisk,14,18,21
drawdown_120,0.010366273610045374,0.025116722114496892,0.01774149786227113,0.025116722114496892,-0.014750448504451518,False,downrisk,34,15,22
return_20d,0.010958605819750812,0.023750984441167453,0.017354795130459132,0.023750984441167453,-0.01279237862141664,False,downrisk,27,17,23
return_60d,0.0067142549771918286,0.026267022658997136,0.016490638818094483,0.026267022658997136,-0.019552767681805305,False,downrisk,55,14,24
drawdown_60,0.014589738901555566,0.01638172134798927,0.015485730124772418,0.01638172134798927,-0.0017919824464337052,False,downrisk,15,21,25
downside_vol_60,0.019514014582022184,0.009726940212887097,0.01462047739745464,0.019514014582022184,0.009787074369135087,False,stage1,10,35,26
downside_vol_20,0.019913173164241016,0.008637205659098944,0.01427518941166998,0.019913173164241016,0.011275967505142072,False,stage1,8,42,27
price_position_60,0.010568509535438525,0.017627509051948362,0.014098009293693443,0.017627509051948362,-0.0070589995165098365,False,downrisk,32,19,28
large_down_day_ratio_20,0.0037335346436347685,0.024190455099593028,0.013961994871613898,0.024190455099593028,-0.02045692045595826,False,downrisk,62,16,29
realized_vol_20,0.01978956932236456,0.00615902220190961,0.012974295762137085,0.01978956932236456,0.013630547120454948,False,stage1,9,52,30
yang_zhang_vol_60,0.01630317229449117,0.009366720466426127,0.012834946380458647,0.01630317229449117,0.006936451828065042,False,stage1,12,39,31
parkinson_vol_60,0.015143627687523673,0.010125994203099734,0.012634810945311704,0.015143627687523673,0.005017633484423939,False,stage1,13,32,32
price_position_20,0.013730941836218421,0.011497495770787021,0.012614218803502721,0.013730941836218421,0.0022334460654314,False,stage1,16,28,33
close_to_20d_high,0.017800246978281177,0.007068206449889297,0.012434226714085237,0.017800246978281177,0.01073204052839188,False,stage1,11,47,34
ma_gap_5_20,0.008468624096427188,0.015637324861901617,0.012052974479164404,0.015637324861901617,-0.007168700765474429,False,downrisk,44,22,35
return_10d,0.011433912272574768,0.011226930714611678,0.011330421493593222,0.011433912272574768,0.0002069815579630891,False,stage1,23,30,36
price_ma_20_gap,0.011005062759154714,0.011594991001219516,0.011300026880187115,0.011594991001219516,-0.0005899282420648022,False,downrisk,26,27,37
ewma_vol_60,0.012702493950200733,0.009553040079673919,0.011127767014937326,0.012702493950200733,0.003149453870526814,False,stage1,20,36,38
atr_rank_252,0.013183522315341093,0.008957262314941055,0.011070392315141075,0.013183522315341093,0.004226260000400038,False,stage1,18,41,39
yang_zhang_vol_20,0.013202031899016305,0.008437086844452777,0.010819559371734542,0.013202031899016305,0.004764945054563529,False,stage1,17,43,40
ulcer_index_60,0.009929351947946651,0.011645912540775957,0.010787632244361304,0.011645912540775957,-0.0017165605928293054,False,downrisk,37,26,41
positive_return_ratio_20,0.004050713023316023,0.017088061776511104,0.010569387399913564,0.017088061776511104,-0.01303734875319508,False,downrisk,61,20,42
realized_vol_60,0.009746405840338585,0.010673109195613987,0.010209757517976287,0.010673109195613987,-0.0009267033552754021,False,downrisk,38,31,43
vol_of_vol_20,0.010672014097162034,0.008998327773364961,0.009835170935263498,0.010672014097162034,0.001673686323797073,False,stage1,28,40,44
keltner_width_20,0.01207969701750872,0.007041850483229036,0.009560773750368878,0.01207969701750872,0.005037846534279684,False,stage1,21,49,45
atr_pct_60,0.01108050454024037,0.007796256603407008,0.009438380571823689,0.01108050454024037,0.0032842479368333614,False,stage1,25,46,46
atr_ratio_14_60,0.01058161601533703,0.007843041295052023,0.009212328655194526,0.01058161601533703,0.0027385747202850075,False,stage1,31,45,47
ulcer_rank_252,0.006580144183577171,0.011768481667059913,0.009174312925318543,0.011768481667059913,-0.005188337483482742,False,downrisk,56,25,48
high_volume_down_ratio_20,0.00507628857342622,0.013199198559122455,0.009137743566274337,0.013199198559122455,-0.008122909985696236,False,downrisk,60,23,49
ulcer_index_20,0.008437597782176454,0.009543052904379293,0.008990325343277874,0.009543052904379293,-0.0011054551222028398,False,downrisk,45,37,50
return_5d,0.008284658321545499,0.009385471713836937,0.008835065017691218,0.009385471713836937,-0.001100813392291438,False,downrisk,46,38,51
down_volume_ratio_20,0.005585904136426377,0.011798440385728243,0.00869217226107731,0.011798440385728243,-0.006212536249301866,False,downrisk,57,24,52
bb_width_20,0.009310345898570847,0.007051241324545656,0.00818079361155825,0.009310345898570847,0.0022591045740251916,False,stage1,41,48,53
bb_width_rank_252,0.007338774509532543,0.008312275982923835,0.007825525246228189,0.008312275982923835,-0.0009735014733912922,False,downrisk,52,44,54
atr_ratio_20_60,0.008904835688294302,0.005783263211019668,0.007344049449656985,0.008904835688294302,0.0031215724772746334,False,stage1,43,54,55
atr_accel_5,0.006859706570832627,0.006606389626752211,0.006733048098792419,0.006859706570832627,0.00025331694408041623,False,stage1,53,50,56
close_to_60d_high,0.010009975044860247,0.00327600984465794,0.006642992444759093,0.010009975044860247,0.006733965200202307,False,stage1,36,60,57
trend_consistency_20,0.0018138338974414598,0.011429038787292681,0.006621436342367071,0.011429038787292681,-0.009615204889851221,False,downrisk,66,29,58
true_range_pct,0.01061622504372887,0.0017863506841302047,0.006201287863929537,0.01061622504372887,0.008829874359598665,False,stage1,30,63,59
price_ma_10_gap,0.010442621829930604,0.0,0.005221310914965302,0.010442621829930604,0.010442621829930604,False,stage1,33,65,60
volume_shock_rank_252,0.00550416070685363,0.003713414253156987,0.0046087874800053085,0.00550416070685363,0.0017907464536966425,False,stage1,58,57,61
volume_zscore_20,0.0068039569677282655,0.0021806762458817545,0.00449231660680501,0.0068039569677282655,0.004623280721846511,False,stage1,54,62,62
volume_ratio_20,0.0053014808326051505,0.0032275230397418556,0.004264501936173503,0.0053014808326051505,0.002073957792863295,False,stage1,59,61,63
bearish_ma_stack,0.0007689399630873508,0.003470800923264866,0.0021198704431761085,0.003470800923264866,-0.002701860960177515,False,downrisk,68,58,64
volume_shock_20,0.003282965178143405,0.0006843553467964132,0.001983660262469909,0.003282965178143405,0.002598609831346992,False,stage1,63,64,65
lower_high_20,0.0023343159889139186,0.0,0.0011671579944569593,0.0023343159889139186,0.0023343159889139186,False,stage1,64,65,66
daily_return,0.0019178181827281076,0.0,0.0009589090913640538,0.0019178181827281076,0.0019178181827281076,False,stage1,65,65,67
volume_change,0.0012901397132325308,0.0,0.0006450698566162654,0.0012901397132325308,0.0012901397132325308,False,stage1,67,65,68
