,importance
large_up_day_ratio_20,0.03884044482033516
ma_gap_60_120,0.037373211907250174
trend_slope_60,0.03701737631979601
price_ma_120_gap,0.036767166647263455
ma_gap_50_200,0.0364055002384985
price_ma_200_gap,0.0361384127747147
trend_slope_20,0.03410024300688423
ma200_slope_60,0.03405284319574759
ma_gap_20_60,0.033840664914448634
positive_return_ratio_60,0.033628222784290264
trend_consistency_60,0.03055445298575509
return_60d,0.027945944345181592
return_120d,0.02703205799502017
price_ma_60_gap,0.026747247413750078
return_20d,0.024404838045813046
large_down_day_ratio_20,0.023855513630995417
drawdown_120,0.023800690407908942
drawdown_20,0.021668405808973237
drawdown_60,0.021285526643630016
price_position_60,0.020850320728416673
positive_return_ratio_20,0.019939429931629227
ma_gap_5_20,0.018284028951355964
return_10d,0.016178144213613074
price_ma_20_gap,0.014947494331294272
return_5d,0.014222722596191143
price_position_20,0.013880758729949757
high_volume_down_ratio_20,0.013029631691992222
trend_consistency_20,0.012776140853511319
down_volume_ratio_20,0.01143947107398138
ulcer_rank_252,0.011074503903840613
rogers_satchell_vol_20,0.011038024192336147
ulcer_index_60,0.010930482482100712
downside_vol_60,0.010215920766337564
parkinson_vol_60,0.010119323675377817
realized_vol_60,0.010050626831971818
ewma_vol_60,0.009999031637921747
parkinson_vol_20,0.009840876731086964
ulcer_index_20,0.009270729263628484
vol_of_vol_20,0.009167271137329533
yang_zhang_vol_60,0.008579515973787684
atr_ratio_14_60,0.008469798800039043
garman_klass_vol_20,0.007944653648903637
downside_vol_20,0.007928186175093135
atr_rank_252,0.007918550354688112
yang_zhang_vol_20,0.00790870677472868
bb_width_rank_252,0.007776183537655138
close_to_20d_high,0.007683931398351235
close_to_60d_high,0.007563714314551081
atr_pct_60,0.00752228513175032
bearish_ma_stack,0.007288368845874251
keltner_width_20,0.007181039804024057
realized_vol_20,0.006714834969936718
bb_width_20,0.006607647267594951
atr_accel_5,0.006185210282153433
ewma_vol_20,0.005989493625616323
atr_ratio_20_60,0.005969166591344853
atr_pct_20,0.005270509989088323
atr_pct_14,0.005143406136093126
semi_vol_20,0.005067499161482751
volume_shock_rank_252,0.0048866540414685255
volume_ratio_20,0.004707735857606629
volume_zscore_20,0.0027053486725202116
true_range_pct,0.0023387431636147215
volume_shock_20,0.001935117947006667
