,importance
trend_slope_60,0.04700514519151064
ma_gap_20_60,0.04582218032529844
price_ma_200_gap,0.04506764351794522
trend_consistency_60,0.04505197297863012
positive_return_ratio_60,0.04436144876729933
large_up_day_ratio_20,0.04430796841107723
ma_gap_60_120,0.04313480423852092
high_volume_down_ratio_20,0.04294243028446559
price_ma_120_gap,0.04262508695255891
ma_gap_50_200,0.042454869717374326
trend_slope_20,0.04141969246960625
down_volume_ratio_20,0.04092660838172638
ma200_slope_60,0.03983020299624297
return_60d,0.039262862125149664
return_120d,0.03912387440435677
price_ma_60_gap,0.03666124068083249
ma_gap_5_20,0.03300928654673967
price_position_60,0.029555614588649144
return_20d,0.02674750835955372
drawdown_120,0.024183506478688548
drawdown_60,0.0217485547949013
drawdown_20,0.02051817083879397
price_ma_20_gap,0.020146246846504963
return_5d,0.0188613843462903
large_down_day_ratio_20,0.01715589752672843
price_position_20,0.015801096908814673
return_10d,0.015164012554958983
positive_return_ratio_20,0.013421780916165258
volume_ratio_20,0.01059475604958448
volume_shock_rank_252,0.010212390161415539
bearish_ma_stack,0.008911024638643813
volume_zscore_20,0.008534091871253969
close_to_20d_high,0.008057928120251745
trend_consistency_20,0.00751411369586253
close_to_60d_high,0.00532067953220879
volume_shock_20,0.00454392448753222
