,importance
ulcer_rank_252,0.05290927542262666
ulcer_index_60,0.052335248284396674
realized_vol_60,0.047978897452897705
rogers_satchell_vol_20,0.04560571517781466
parkinson_vol_60,0.04553569863007093
parkinson_vol_20,0.04435287637447584
downside_vol_60,0.04375679867336571
ulcer_index_20,0.042915168207227475
ewma_vol_60,0.04290581797249615
yang_zhang_vol_60,0.042120487035606946
vol_of_vol_20,0.040448304695365506
atr_rank_252,0.0403351102490671
downside_vol_20,0.038961174622056116
yang_zhang_vol_20,0.03804720906529318
bb_width_rank_252,0.037422290784195955
atr_ratio_14_60,0.03533148164881693
atr_pct_60,0.035001073918205554
bb_width_20,0.03202919327127131
keltner_width_20,0.03141850255098602
atr_accel_5,0.029683178484057344
garman_klass_vol_20,0.028719905761785673
realized_vol_20,0.027658731773650896
ewma_vol_20,0.027380908050829367
atr_ratio_20_60,0.025999049123908793
atr_pct_20,0.024732617516357486
semi_vol_20,0.022655026157042898
atr_pct_14,0.0156498171036219
true_range_pct,0.008110442165984534
