start_date,trough_date,recovery_date,depth,duration_days,days_to_trough,avg_stock_weight,avg_prob_high_vol,avg_prob_down_risk,trough_regime
2021-11-17,2022-11-01,2023-12-06,-0.299017893952352,515,240,0.7718217054263565,0.6687733827113084,0.5245913919747544,EXTREME_RISK
2020-02-14,2020-03-12,2020-06-18,-0.2190581290785002,86,18,0.7202298850574711,0.7525817564722813,0.5348954543951615,EXTREME_RISK
2025-02-14,2025-04-04,2025-07-23,-0.19213917390911772,108,34,0.7788990825688076,0.6057136384255055,0.4685220502766283,RISK_OFF
2018-08-27,2018-12-20,2019-04-03,-0.16398740593544792,150,80,0.7858278145695365,0.597814818804097,0.4671725218776575,EXTREME_RISK
2015-07-16,2016-02-05,2016-09-19,-0.16172413463098645,297,141,0.8944966442953021,0.44701796734236326,0.45947844642010827,RISK_OFF
2024-07-08,2024-08-05,2024-11-29,-0.12063078821750028,102,20,0.8889320388349519,0.5025325205039888,0.4367871163657438,WATCH
2020-08-31,2020-09-21,2020-12-23,-0.1109042798510359,80,14,0.7859259259259259,0.7039199880616446,0.4970285314799808,RISK_OFF
2025-10-27,2026-03-26,2026-04-20,-0.10766228513367537,119,103,0.8825000000000002,0.533124925764848,0.4828925719312538,WATCH
2018-01-24,2018-02-06,2018-03-07,-0.10226391907696697,29,9,0.9239999999999998,0.5303463775744718,0.5052376105371161,CUSTOM
2019-05-01,2019-05-30,2019-07-01,-0.09933075862207486,42,20,0.9200000000000003,0.48753481360292894,0.49295870479209736,NORMAL
