,importance
large_up_day_ratio_20,0.04146238793736008
trend_slope_60,0.04132623587508326
price_ma_120_gap,0.041256109314475445
price_ma_200_gap,0.041083146500149895
ma_gap_60_120,0.04008988902671417
ma_gap_50_200,0.038283349235638205
trend_slope_20,0.038069267490528844
ma_gap_20_60,0.03791636921355757
ma200_slope_60,0.03720570424178655
positive_return_ratio_60,0.036757796247632646
trend_consistency_60,0.03458204806508822
price_ma_60_gap,0.03067467908199649
return_120d,0.027706796163107915
return_60d,0.026327332527121602
drawdown_120,0.025055563804387393
large_down_day_ratio_20,0.024210710957983293
return_20d,0.02380541242149698
drawdown_20,0.021521116732199315
price_position_60,0.017622390973667194
positive_return_ratio_20,0.01707872588026692
drawdown_60,0.016326728235639475
ma_gap_5_20,0.015557591410025674
high_volume_down_ratio_20,0.013170710927899187
ulcer_rank_252,0.01177264321361368
down_volume_ratio_20,0.011770143713513948
ulcer_index_60,0.011638780717649275
price_ma_20_gap,0.011578235907681691
price_position_20,0.011545947591513
trend_consistency_20,0.011460526924883386
return_10d,0.011207417598967444
realized_vol_60,0.010696704237027066
parkinson_vol_60,0.010128020095175733
rogers_satchell_vol_20,0.010121458793552064
parkinson_vol_20,0.009858400140603803
downside_vol_60,0.009720033160644886
ewma_vol_60,0.009546639086683552
ulcer_index_20,0.009541758809795495
yang_zhang_vol_60,0.009364114663435551
return_5d,0.009356134578836876
vol_of_vol_20,0.008997334714328486
atr_rank_252,0.008952261925004817
downside_vol_20,0.0086299446208166
yang_zhang_vol_20,0.008453406823521682
bb_width_rank_252,0.008309632262723797
atr_ratio_14_60,0.007812934846952361
atr_pct_60,0.007789434390678441
close_to_20d_high,0.007224414126193594
bb_width_20,0.0070709800850939555
keltner_width_20,0.00702278045399614
atr_accel_5,0.006596658773820049
garman_klass_vol_20,0.00642558976175712
ewma_vol_20,0.0061287380278815164
realized_vol_20,0.006114385903211774
atr_ratio_20_60,0.005778072272992826
atr_pct_20,0.005458921206588106
semi_vol_20,0.005023949074764643
volume_shock_rank_252,0.0037193357600786145
atr_pct_14,0.003473014104745638
bearish_ma_stack,0.003425242129230389
close_to_60d_high,0.0033182730256436917
volume_ratio_20,0.003216756132176323
volume_zscore_20,0.0021806364586356925
true_range_pct,0.001795630176900732
volume_shock_20,0.0006846509502446722
