,importance
large_up_day_ratio_20,0.047603590012941926
trend_slope_60,0.045962146751301745
ma_gap_60_120,0.04559998988753207
price_ma_120_gap,0.045400470173695966
ma_gap_50_200,0.044478168348885246
price_ma_200_gap,0.043733067294866375
trend_slope_20,0.04266612869613464
ma200_slope_60,0.04251237561194492
ma_gap_20_60,0.04147252497828698
positive_return_ratio_60,0.04119403637753474
high_volume_down_ratio_20,0.03906067589201802
trend_consistency_60,0.036914380191500104
down_volume_ratio_20,0.03431412598662959
return_120d,0.03291845556148993
price_ma_60_gap,0.03276765843197825
return_60d,0.03235686565652768
return_20d,0.029523108571690198
large_down_day_ratio_20,0.028662487072338875
drawdown_120,0.027767906022095952
drawdown_60,0.025119809710015525
positive_return_ratio_20,0.025082680419833945
drawdown_20,0.02492498467599655
price_position_60,0.024549440814307818
ma_gap_5_20,0.020543342491363446
return_10d,0.0194142533816
return_5d,0.01777161583645971
price_ma_20_gap,0.01740186907218664
price_position_20,0.016156061334417215
volume_shock_rank_252,0.01467043958467594
volume_ratio_20,0.01416316567684546
trend_consistency_20,0.009094935375273169
close_to_60d_high,0.008308459276569978
volume_zscore_20,0.008126510603312728
close_to_20d_high,0.007505061382073022
bearish_ma_stack,0.006462484790337464
volume_shock_20,0.0057967265777748135
