start_date,trough_date,recovery_date,depth,duration_days,days_to_trough,avg_stock_weight,avg_prob_high_vol,avg_prob_down_risk,trough_regime
2021-11-17,2022-11-01,2023-12-11,-0.237072206133629,518,240,0.4950289017341041,0.666148630843473,0.5240386020784757,EXTREME_RISK
2020-02-14,2020-03-16,2020-06-19,-0.12256391970795488,87,20,0.3794318181818181,0.7518543644436778,0.5351035537451417,EXTREME_RISK
2025-02-14,2025-04-04,2025-08-06,-0.11119970230238896,118,34,0.48773109243697477,0.5705938161179496,0.47018871183336064,EXTREME_RISK
2015-11-27,2016-02-05,2016-07-12,-0.09273279396635181,155,47,0.7247435897435898,0.48996583359235785,0.4560936124029528,RISK_OFF
2015-07-16,2015-08-21,2015-10-20,-0.09125484911136983,67,26,0.556029411764706,0.5714338731547602,0.4711244860738126,NORMAL
2026-01-26,2026-03-26,2026-04-20,-0.07568575785500375,58,42,0.7442372881355932,0.6042727967921824,0.4628616710201988,WATCH
2024-07-08,2024-09-04,2024-12-02,-0.07307301797366039,103,41,0.6199999999999999,0.5009820305516064,0.43702886210703784,WATCH
2018-08-29,2018-12-20,2019-03-07,-0.0715967820470722,129,78,0.4383846153846154,0.6537360907012545,0.4634120016881202,EXTREME_RISK
2020-08-31,2020-09-21,2021-01-15,-0.07072454258178174,95,14,0.46968749999999987,0.6690610434473148,0.49538195454534195,RISK_OFF
2018-01-24,2018-02-06,2018-05-31,-0.06479084070150332,88,9,0.5301123595505618,0.6498295410530877,0.4836726514758805,NORMAL
