,importance
ma_gap_60_120,0.04331036508630773
ma200_slope_60,0.041562503096573646
ma_gap_50_200,0.04054884557470879
return_120d,0.03977731083859763
trend_slope_60,0.03966138722252152
ma_gap_20_60,0.03548493268744861
price_ma_120_gap,0.035274655336078944
price_ma_200_gap,0.03524518578287537
positive_return_ratio_60,0.03521497874397836
down_volume_ratio_20,0.03341196563835385
return_60d,0.030816205834655972
trend_slope_20,0.03015067695563962
large_down_day_ratio_20,0.02990590265454514
drawdown_60,0.02838570320963054
positive_return_ratio_20,0.02727114877730884
price_ma_60_gap,0.02688075932845037
large_up_day_ratio_20,0.025919960415367746
trend_consistency_60,0.025260815362142038
drawdown_120,0.02508543945164309
price_position_60,0.024540118643060504
ma_gap_5_20,0.02404223985343826
high_volume_down_ratio_20,0.023948291715391354
return_20d,0.023774184380633254
close_to_60d_high,0.020471540126429374
large_up_day_ratio_10,0.019786896893896885
trend_slope_10,0.017908782845840923
price_position_10_minus_20,0.01679434009392502
positive_return_ratio_10,0.016462438481842884
return_10d,0.015348462121076567
drawdown_20,0.015238888404339724
return_5d,0.014815570726792458
price_ma_20_gap,0.013900648253653003
large_down_day_ratio_10,0.012907098532268142
volume_ratio_20,0.012758064838260271
drawdown_10,0.012487554314912047
price_position_10,0.011707568476493988
volume_shock_rank_252,0.011031478805278543
trend_slope_5,0.010804625204977965
price_position_5_minus_20,0.009274045012139213
volume_zscore_20,0.008808448711338965
trend_consistency_20,0.008293525305715675
price_position_20,0.007039989392011656
drawdown_5,0.005525767440188261
bearish_ma_stack,0.005100241753040344
close_to_20d_high,0.004618706093640954
close_to_10d_high,0.0034417455872533045
