,importance
ma_gap_60_120,0.04350906648554854
trend_slope_60,0.04343778822415819
large_up_day_ratio_20,0.04228294140231146
price_ma_120_gap,0.041411668058052395
ma_gap_50_200,0.04141096892352733
price_ma_200_gap,0.041248771296407555
trend_slope_20,0.03906586480494182
ma200_slope_60,0.038617716144977346
ma_gap_20_60,0.03855722841422354
positive_return_ratio_60,0.03719794230225185
trend_consistency_60,0.03625001857567224
return_60d,0.03147661906423525
return_120d,0.030352501632897034
price_ma_60_gap,0.030315176308307393
return_20d,0.02749883628544806
drawdown_120,0.02741985975871868
price_position_60,0.026554136279238656
positive_return_ratio_10,0.025160103221423924
large_down_day_ratio_10,0.023792591296821937
large_up_day_ratio_10,0.023632620185636038
large_down_day_ratio_20,0.023611676160408747
positive_return_ratio_20,0.023457744660845492
ma_gap_5_20,0.023072515772092007
drawdown_10,0.022109320619150937
drawdown_60,0.02124233855422409
price_ma_20_gap,0.019911790515863455
price_position_10_minus_20,0.01804796679847179
trend_slope_5,0.017861130775277016
drawdown_20,0.016824083064828677
price_position_20,0.015030083358324769
return_10d,0.014912762552062296
trend_slope_10,0.014530233177870359
price_position_10,0.013993306835699413
return_5d,0.013365541142212308
price_position_5_minus_20,0.012172312023014657
trend_consistency_20,0.011424658624159674
close_to_60d_high,0.009289904589956951
bearish_ma_stack,0.0074377141260941115
close_to_10d_high,0.007259900734338555
drawdown_5,0.004610925214365125
close_to_20d_high,0.0006416733376681805
