,importance
ma_gap_60_120,0.03278009855123549
trend_slope_60,0.03264502273516063
large_up_day_ratio_20,0.03249492413135473
ma_gap_50_200,0.031231239130901176
price_ma_200_gap,0.031030414404361502
price_ma_120_gap,0.030833883262782465
ma200_slope_60,0.029219494439822472
ma_gap_20_60,0.0291711155991842
trend_slope_20,0.029022716514930883
positive_return_ratio_60,0.02828310421364944
trend_consistency_60,0.025381194227835
return_120d,0.023178983053805988
return_60d,0.023107803071512684
price_ma_60_gap,0.022160426333809803
return_20d,0.020110722161422737
drawdown_120,0.02007073925916355
price_position_60,0.019943173012170183
positive_return_ratio_10,0.018897271582712948
large_up_day_ratio_10,0.01824237568153496
large_down_day_ratio_20,0.018218349719709984
positive_return_ratio_20,0.017576344317756183
drawdown_10,0.016783185005808048
drawdown_60,0.01585213994925367
ma_gap_5_20,0.015736827652909395
large_down_day_ratio_10,0.015496197178782454
price_ma_20_gap,0.014770765813080696
price_position_10_minus_20,0.013545971662315293
trend_slope_5,0.012985870016222211
drawdown_20,0.012203956289549091
trend_slope_10,0.011957434785807533
price_position_20,0.011666521801673276
return_10d,0.011234204752301007
high_volume_down_ratio_20,0.010548285537561961
ulcer_index_60,0.010359053848216037
price_position_10,0.010217893173272607
rogers_satchell_vol_20,0.010070822321780262
return_5d,0.009597994187488254
down_volume_ratio_20,0.009485180446351896
parkinson_vol_60,0.00948415426997307
ulcer_rank_252,0.009456538269214162
downside_vol_60,0.008992121910316644
price_position_5_minus_20,0.008932795492206196
realized_vol_60,0.008854948003005196
ewma_vol_60,0.008839648644845585
parkinson_vol_20,0.008450735617647476
ulcer_index_20,0.008291588724973552
vol_of_vol_20,0.00803399278217273
yang_zhang_vol_60,0.007949231751961224
atr_ratio_14_60,0.00754435545361619
yang_zhang_vol_20,0.007197690267683332
bb_width_rank_252,0.007117478863278247
close_to_60d_high,0.007084193748891735
garman_klass_vol_20,0.007020139896008125
realized_vol_ratio_10_20,0.006917030717155073
atr_pct_60,0.006881574434174859
close_to_10d_high,0.006866168713474702
atr_rank_252,0.006850191051689859
downside_vol_20,0.0067800788370632895
atr_pct_10,0.006643018178556385
bb_width_20,0.006218505666445041
trend_consistency_20,0.00621481131808668
bearish_ma_stack,0.005670424275029602
drawdown_5,0.005565843465955636
atr_ratio_20_60,0.005530891265117316
semi_vol_10,0.005527752257675767
downside_vol_10,0.005291949887287753
atr_pct_5,0.0050404035903897785
realized_vol_20,0.005030534084396835
keltner_width_20,0.00477549215631412
realized_vol_10,0.004461649012985119
atr_pct_20,0.004379509140293252
ewma_vol_20,0.004290229963956173
semi_vol_20,0.004086090590116179
volume_shock_rank_252,0.004082695769885845
atr_pct_14,0.0038632576715618345
volume_ratio_20,0.003768057649529837
volume_zscore_20,0.002726739309047516
true_range_pct,0.0019915632842006157
close_to_20d_high,0.0011842249737328947
