,importance
ma_gap_60_120,0.03472967534140974
ma200_slope_60,0.033747732656046164
ma_gap_50_200,0.03266307437073089
trend_slope_60,0.03214219600103185
return_120d,0.03199210320632742
ma_gap_20_60,0.02837421958634329
price_ma_200_gap,0.02837225730618422
price_ma_120_gap,0.028167290916861747
positive_return_ratio_60,0.028122319553604447
return_60d,0.024733839975375475
large_down_day_ratio_20,0.024451205866240194
trend_consistency_60,0.024272525781610873
trend_slope_20,0.023784889596175852
positive_return_ratio_20,0.0235434674868082
drawdown_60,0.02345495987831877
price_ma_60_gap,0.022321987480310744
large_up_day_ratio_20,0.02105013951685894
ma_gap_5_20,0.020603083878435863
drawdown_120,0.020322355698370966
price_position_60,0.019884614409210334
return_20d,0.019503075000006156
large_up_day_ratio_10,0.015911114349682252
trend_slope_10,0.014953059581300634
close_to_60d_high,0.014209176169453802
price_position_10_minus_20,0.01374798610067731
positive_return_ratio_10,0.013398821447581422
drawdown_20,0.012774137309888812
return_10d,0.01221162924472689
return_5d,0.011942790396610602
price_ma_20_gap,0.011663788006756434
down_volume_ratio_20,0.011136773705262894
trend_consistency_20,0.01077830704643753
drawdown_10,0.010687410623465858
large_down_day_ratio_10,0.01065998265657404
realized_vol_60,0.009942626111572601
price_position_10,0.009459076620644992
ulcer_index_60,0.009362626147616206
downside_vol_60,0.009105484516789391
trend_slope_5,0.009050352813789079
atr_rank_252,0.008694507976327868
parkinson_vol_60,0.008513023334177697
yang_zhang_vol_60,0.008494685130268824
atr_pct_60,0.008253321769184103
downside_vol_20,0.00821968853755193
bb_width_20,0.008048572682488908
high_volume_down_ratio_20,0.007985165868049272
vol_of_vol_20,0.007925966459924333
ewma_vol_60,0.007851193498808159
atr_ratio_20_60,0.007588034498297051
atr_ratio_14_60,0.007539357870839359
bb_width_rank_252,0.007453661170097523
ulcer_rank_252,0.007397869542900219
realized_vol_20,0.007339391780532532
price_position_5_minus_20,0.007246823054887455
ulcer_index_20,0.007140945806837871
realized_vol_10,0.006855037654637638
semi_vol_20,0.006709496088365527
rogers_satchell_vol_20,0.006281793135758001
price_position_20,0.006174825484281452
garman_klass_vol_20,0.006125356801432089
ewma_vol_20,0.006084500437346421
realized_vol_ratio_10_20,0.006011447708169245
downside_vol_10,0.005943158391348119
yang_zhang_vol_20,0.005791135462255638
semi_vol_10,0.005311790187520282
parkinson_vol_20,0.005120009177435398
atr_pct_10,0.0048124501049457815
drawdown_5,0.004742135006739134
close_to_20d_high,0.004539202732657732
volume_ratio_20,0.004254636604552312
keltner_width_20,0.004239223447477
atr_pct_5,0.004119338897406098
bearish_ma_stack,0.004085355404305477
atr_pct_14,0.0040350132952515095
atr_pct_20,0.0038800833313753914
volume_shock_rank_252,0.0036841503135013336
close_to_10d_high,0.003305959214096085
volume_zscore_20,0.002938106813207779
true_range_pct,0.002031431429742721
