,importance
ma_gap_60_120,0.04331290850793252
ma200_slope_60,0.0415556205830182
ma_gap_50_200,0.040554639440545416
return_120d,0.03976360335922985
trend_slope_60,0.03966462064376434
ma_gap_20_60,0.03545434706918766
price_ma_120_gap,0.03525938266957094
price_ma_200_gap,0.03523336832219525
positive_return_ratio_60,0.03520361856637811
down_volume_ratio_20,0.033410321115788684
return_60d,0.030853628969409675
trend_slope_20,0.030129964213846692
large_down_day_ratio_20,0.02990768893955863
drawdown_60,0.028393301378985467
positive_return_ratio_20,0.027274013046259087
price_ma_60_gap,0.026868506488325592
large_up_day_ratio_20,0.025895736515632876
trend_consistency_60,0.025256021356090924
drawdown_120,0.025086475744342713
price_position_60,0.024558646040358803
ma_gap_5_20,0.024043005619133178
high_volume_down_ratio_20,0.023955497604147818
return_20d,0.023764479690581784
close_to_60d_high,0.020467262824240606
large_up_day_ratio_10,0.019806035235570375
trend_slope_10,0.017933035031496222
price_position_10_minus_20,0.01676109273518835
positive_return_ratio_10,0.016452830901110407
return_10d,0.015346192905117134
drawdown_20,0.015262312928104028
return_5d,0.014837275704784198
price_ma_20_gap,0.01389270009924544
large_down_day_ratio_10,0.012903925569844432
volume_ratio_20,0.012763909813656937
drawdown_10,0.01249175907464849
price_position_10,0.011692426150104785
volume_shock_rank_252,0.011052450940504001
trend_slope_5,0.01088927386309291
price_position_5_minus_20,0.009273024482282049
volume_zscore_20,0.008814320439623338
trend_consistency_20,0.008239593711002113
price_position_20,0.007039806767280093
drawdown_5,0.005532773879326308
bearish_ma_stack,0.005095375250733461
close_to_20d_high,0.004657693786164542
close_to_10d_high,0.0033955373266132756
