model,prob_col,actual_col,positive_value,threshold,precision,recall,f1,pred_positive_ratio,support_positive,support_negative
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.1,0.44087635054021607,0.9959322033898305,0.6111920116496775,0.9925528745904081,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.15,0.4654947916666667,0.9694915254237289,0.6289861447107983,0.9151027703306523,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.2,0.4917739628040057,0.9322033898305084,0.6438773121048935,0.8328865058087578,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.25,0.5284388866478419,0.888135593220339,0.6626201315123925,0.7384569556151326,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.3,0.5628930817610063,0.8494915254237289,0.6771142934342069,0.6630920464700626,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.35,0.5960099750623441,0.8101694915254237,0.6867816091954023,0.5972594578492701,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.4,0.6202600216684724,0.7762711864406779,0.689551339957844,0.5498957402442657,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.45,0.6505803298717165,0.7220338983050848,0.6844473007712082,0.48763777182007745,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.5,0.6860622462787551,0.6874576271186441,0.6867592279038266,0.440274054215073,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.55,0.7118263473053892,0.6447457627118645,0.6766275346851655,0.397974381888591,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.6,0.7327659574468085,0.583728813559322,0.6498113207547169,0.35001489425081916,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.65,0.7642357642357642,0.5186440677966102,0.6179321486268174,0.2981829014000596,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.7,0.8049940546967895,0.4589830508474576,0.5846286701208981,0.2505212987786714,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.75,0.8452554744525548,0.3925423728813559,0.5361111111111111,0.20405123622281798,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.8,0.8724584103512015,0.32,0.46825396825396826,0.16115579386356865,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.85,0.9111675126903553,0.24338983050847457,0.3841626538255752,0.1173666964551683,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.9,0.9289099526066351,0.13288135593220338,0.232502965599051,0.06285373845695562,1475,1882
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.1,0.44087635054021607,0.9959322033898305,0.6111920116496775,0.9925528745904081,1475,1882
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.15,0.4654947916666667,0.9694915254237289,0.6289861447107983,0.9151027703306523,1475,1882
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.2,0.4917739628040057,0.9322033898305084,0.6438773121048935,0.8328865058087578,1475,1882
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.25,0.5284388866478419,0.888135593220339,0.6626201315123925,0.7384569556151326,1475,1882
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.3,0.5628930817610063,0.8494915254237289,0.6771142934342069,0.6630920464700626,1475,1882
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.35,0.5960099750623441,0.8101694915254237,0.6867816091954023,0.5972594578492701,1475,1882
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.4,0.6202600216684724,0.7762711864406779,0.689551339957844,0.5498957402442657,1475,1882
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.45,0.6505803298717165,0.7220338983050848,0.6844473007712082,0.48763777182007745,1475,1882
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.5,0.6860622462787551,0.6874576271186441,0.6867592279038266,0.440274054215073,1475,1882
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.55,0.7118263473053892,0.6447457627118645,0.6766275346851655,0.397974381888591,1475,1882
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.6,0.7327659574468085,0.583728813559322,0.6498113207547169,0.35001489425081916,1475,1882
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.65,0.7642357642357642,0.5186440677966102,0.6179321486268174,0.2981829014000596,1475,1882
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.7,0.8049940546967895,0.4589830508474576,0.5846286701208981,0.2505212987786714,1475,1882
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.75,0.8452554744525548,0.3925423728813559,0.5361111111111111,0.20405123622281798,1475,1882
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.8,0.8724584103512015,0.32,0.46825396825396826,0.16115579386356865,1475,1882
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.85,0.9111675126903553,0.24338983050847457,0.3841626538255752,0.1173666964551683,1475,1882
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.9,0.9289099526066351,0.13288135593220338,0.232502965599051,0.06285373845695562,1475,1882
overall_risk_down,prob_overall_risk,actual_direction,하락,0.1,0.297719087635054,0.9831516352824579,0.4570375489518544,0.9925528745904081,1009,2348
overall_risk_down,prob_overall_risk,actual_direction,하락,0.15,0.3037109375,0.9246778989098117,0.45724087233521193,0.9151027703306523,1009,2348
overall_risk_down,prob_overall_risk,actual_direction,하락,0.2,0.3104434907010014,0.8602576808721506,0.45624178712220764,0.8328865058087578,1009,2348
overall_risk_down,prob_overall_risk,actual_direction,하락,0.25,0.3150463896732553,0.7740336967294351,0.4478211009174312,0.7384569556151326,1009,2348
overall_risk_down,prob_overall_risk,actual_direction,하락,0.3,0.3198562443845463,0.7056491575817642,0.4401854714064915,0.6630920464700626,1009,2348
overall_risk_down,prob_overall_risk,actual_direction,하락,0.35,0.3157107231920199,0.6273538156590683,0.42003981420039815,0.5972594578492701,1009,2348
overall_risk_down,prob_overall_risk,actual_direction,하락,0.4,0.31094257854821233,0.5688800792864221,0.4021015761821366,0.5498957402442657,1009,2348
overall_risk_down,prob_overall_risk,actual_direction,하락,0.45,0.3097128894318876,0.5024777006937562,0.3832199546485261,0.48763777182007745,1009,2348
overall_risk_down,prob_overall_risk,actual_direction,하락,0.5,0.3125845737483085,0.4578790882061447,0.3715319662243667,0.440274054215073,1009,2348
overall_risk_down,prob_overall_risk,actual_direction,하락,0.55,0.312874251497006,0.41427155599603566,0.3565031982942431,0.397974381888591,1009,2348
overall_risk_down,prob_overall_risk,actual_direction,하락,0.6,0.31574468085106383,0.3676907829534192,0.33974358974358976,0.35001489425081916,1009,2348
overall_risk_down,prob_overall_risk,actual_direction,하락,0.65,0.3116883116883117,0.30921704658077304,0.31044776119402984,0.2981829014000596,1009,2348
