,importance
ma_gap_60_120,0.04355651166822229
trend_slope_60,0.04136857463371208
ma200_slope_60,0.039845518696691014
ma_gap_50_200,0.03864344408724546
return_120d,0.03843551954115457
price_ma_120_gap,0.03783905217474851
ma_gap_20_60,0.035346459069784494
return_60d,0.034982683063323375
price_ma_200_gap,0.034477294146546184
positive_return_ratio_60,0.03278412788991802
down_volume_ratio_20,0.03236565516549274
high_volume_down_ratio_20,0.03087487640432156
price_position_60,0.029170735683273673
drawdown_60,0.02862717925814823
price_ma_60_gap,0.02688125119493634
large_down_day_ratio_20,0.026854944592785267
positive_return_ratio_20,0.023901697314512502
trend_slope_20,0.02381936324621035
return_20d,0.022743818897219
large_up_day_ratio_10,0.02261172523128427
ma_gap_5_20,0.02180038036883724
trend_consistency_60,0.02166391417752796
close_to_60d_high,0.021280171394917287
drawdown_120,0.02032269591469981
large_up_day_ratio_20,0.019602116121065577
trend_slope_10,0.019365114637698824
drawdown_10,0.0185593143020332
drawdown_20,0.017452533131175202
price_ma_20_gap,0.01653545108156178
trend_slope_5,0.01648812649219753
return_10d,0.015188207119896857
positive_return_ratio_10,0.015168436241289046
price_position_10_minus_20,0.01429779873768215
return_5d,0.012802762559319475
volume_ratio_20,0.011130674770688602
price_position_5_minus_20,0.01058539308181184
volume_shock_rank_252,0.0104477960457665
large_down_day_ratio_10,0.010154542380318855
drawdown_5,0.009916540360134854
trend_consistency_20,0.009716814236786117
price_position_10,0.009690969805339433
price_position_20,0.008882500452143307
volume_zscore_20,0.0077672821485716016
close_to_20d_high,0.005841194889355739
close_to_10d_high,0.005594165172956381
bearish_ma_stack,0.004614671983694684
