,importance
ma200_slope_60,0.035144507737971536
ma_gap_60_120,0.03469732196526419
ma_gap_50_200,0.03446769043273494
return_120d,0.034322517083929964
trend_slope_60,0.032145945389892225
price_ma_200_gap,0.029870044543177696
ma_gap_20_60,0.029403790570048438
price_ma_120_gap,0.027029843840951105
positive_return_ratio_60,0.02684343174414816
return_60d,0.02606328743021665
trend_slope_20,0.025105734159577554
positive_return_ratio_20,0.023756106354436493
price_ma_60_gap,0.023351430999401734
large_down_day_ratio_20,0.023312940172033614
drawdown_60,0.02281029285558555
trend_consistency_60,0.022754104230798267
ma_gap_5_20,0.02083451878339343
large_up_day_ratio_20,0.019695981279908494
drawdown_120,0.01966251950205139
price_position_60,0.01888908965309013
return_20d,0.018229035758477792
price_ma_20_gap,0.014339957236217511
large_up_day_ratio_10,0.014309629364406471
trend_slope_10,0.01415975635066868
return_5d,0.013511358369230618
return_10d,0.012845816309767721
positive_return_ratio_10,0.012797375477954533
price_position_10_minus_20,0.012701961230778313
close_to_60d_high,0.012356963899443334
drawdown_20,0.012022454719958924
drawdown_10,0.011293124977187909
down_volume_ratio_20,0.010965247557641108
trend_consistency_20,0.010814570830432215
ulcer_index_60,0.009799456139049137
large_down_day_ratio_10,0.009753368107128332
downside_vol_60,0.009004499366165286
trend_slope_5,0.00898688590608305
realized_vol_60,0.008921995787344204
price_position_10,0.008920770038894006
yang_zhang_vol_60,0.008892800299835227
downside_vol_20,0.008756590922057257
high_volume_down_ratio_20,0.008576406132888416
parkinson_vol_60,0.008398182791904334
atr_rank_252,0.008367943795978107
atr_pct_60,0.008314977486020286
ewma_vol_60,0.007947630065820152
bb_width_20,0.007755775732772874
vol_of_vol_20,0.007405035888835316
ulcer_rank_252,0.007400462352044253
atr_ratio_14_60,0.00734497303433489
bb_width_rank_252,0.007306811692111485
atr_ratio_20_60,0.007274462197714988
price_position_5_minus_20,0.007209694596340133
realized_vol_20,0.007190603990922066
ulcer_index_20,0.007147610790087601
semi_vol_20,0.006892034062779816
yang_zhang_vol_20,0.00680428624952713
price_position_20,0.006546913339536827
garman_klass_vol_20,0.006399113572083231
downside_vol_10,0.006334038757038933
realized_vol_10,0.006291658001832995
rogers_satchell_vol_20,0.0062664464005276095
ewma_vol_20,0.005972820954377386
parkinson_vol_20,0.005747923217671358
realized_vol_ratio_10_20,0.005705904700355794
drawdown_5,0.005488272564683365
semi_vol_10,0.005262382778417424
atr_pct_10,0.004748043659829887
volume_ratio_20,0.00461853040200675
keltner_width_20,0.004401324782623193
atr_pct_5,0.00428922407362729
atr_pct_14,0.00411220675722347
close_to_10d_high,0.004051161311649778
volume_shock_rank_252,0.003768584038018989
close_to_20d_high,0.0036366500588349204
atr_pct_20,0.0035795209537394924
volume_zscore_20,0.0030650215659882123
bearish_ma_stack,0.002647167965154327
true_range_pct,0.00218548125983196
