feature,stage1_importance,downrisk_importance,mean_importance,max_importance,importance_gap_stage1_minus_downrisk,is_low_importance_candidate,used_more_by,stage1_rank,downrisk_rank,mean_rank
drawdown_60,0.03106408551901127,0.02342065203402826,0.027242368776519765,0.03106408551901127,0.00764343348498301,False,stage1,3,15,1
drawdown_120,0.03242211384548105,0.020311404078546133,0.02636675896201359,0.03242211384548105,0.012110709766934916,False,stage1,2,19,2
ma_gap_60_120,0.013097595972044112,0.0347254197993902,0.023911507885717158,0.0347254197993902,-0.02162782382734609,False,downrisk,24,1,3
atr_pct_10,0.0430250386260533,0.004786321499624238,0.02390568006283877,0.0430250386260533,0.03823871712642906,False,stage1,1,67,4
price_ma_120_gap,0.01757429987807723,0.028166422111573455,0.022870360994825343,0.028166422111573455,-0.010592122233496225,False,downrisk,14,8,5
return_120d,0.012148779926526855,0.0319947893924295,0.022071784659478177,0.0319947893924295,-0.019846009465902648,False,downrisk,30,5,6
ma200_slope_60,0.010317854009733151,0.033746491817673724,0.02203217291370344,0.033746491817673724,-0.02342863780794057,False,downrisk,38,2,7
price_ma_200_gap,0.0153080578351191,0.02836494942127022,0.02183650362819466,0.02836494942127022,-0.01305689158615112,False,downrisk,16,7,8
ma_gap_50_200,0.009965032705954472,0.03265006721116347,0.02130754995855897,0.03265006721116347,-0.022685034505208992,False,downrisk,41,3,9
trend_slope_60,0.00979706827020559,0.03213464111020206,0.020965854690203824,0.03213464111020206,-0.02233757283999647,False,downrisk,43,4,10
ma_gap_20_60,0.009739158429511008,0.02837804133361404,0.019058599881562523,0.02837804133361404,-0.01863888290410303,False,downrisk,46,6,11
rogers_satchell_vol_20,0.030662545446664316,0.006307460535488587,0.01848500299107645,0.030662545446664316,0.02435508491117573,False,stage1,4,58,12
close_to_60d_high,0.0226885179363885,0.014261925597397581,0.018475221766893042,0.0226885179363885,0.008426592338990919,False,stage1,9,24,13
positive_return_ratio_60,0.00873700392456533,0.02811621795679961,0.018426610940682472,0.02811621795679961,-0.01937921403223428,False,downrisk,56,9,14
