,importance
ma_gap_60_120,0.04565541980957191
ma200_slope_60,0.04476598865493008
ma_gap_50_200,0.043074620713014156
trend_slope_60,0.042565663029520126
return_120d,0.04217380412950343
price_ma_200_gap,0.03742562051209259
ma_gap_20_60,0.037257854336299745
price_ma_120_gap,0.03694014844315086
positive_return_ratio_60,0.03687091901831861
trend_consistency_60,0.035662660150260234
large_down_day_ratio_20,0.03258720539382748
return_60d,0.0325141576979207
positive_return_ratio_20,0.032503609538714895
drawdown_60,0.0314711473363873
trend_slope_20,0.030927839048037264
price_ma_60_gap,0.030117000566528915
ma_gap_5_20,0.02832337624991014
large_up_day_ratio_20,0.027895369805351254
drawdown_120,0.02694228320938742
price_position_60,0.026316670166644535
return_20d,0.026075695255085088
large_up_day_ratio_10,0.020930570161172432
trend_slope_10,0.02019374685765898
price_position_10_minus_20,0.018371801426318207
trend_consistency_20,0.01801245455585775
positive_return_ratio_10,0.017804657815836723
drawdown_20,0.0173062329189316
close_to_60d_high,0.01662534045196899
return_10d,0.015987870398779098
price_ma_20_gap,0.01579632187955819
return_5d,0.015749265574081548
drawdown_10,0.014681980514271546
large_down_day_ratio_10,0.01430376893254034
price_position_10,0.012557870713386538
trend_slope_5,0.012213941727709642
price_position_5_minus_20,0.009342531728973896
price_position_20,0.008616216032481003
close_to_20d_high,0.0067171990721983585
drawdown_5,0.00649071598697432
bearish_ma_stack,0.005343436584509965
close_to_10d_high,0.004887025200462501
