,importance
trend_slope_60,0.05209048495938381
large_up_day_ratio_20,0.05161645501253328
price_ma_120_gap,0.05116935567570008
price_ma_200_gap,0.04992957157914394
ma_gap_60_120,0.04924087559941524
trend_slope_20,0.04786470621946223
ma_gap_50_200,0.047521451635042296
ma200_slope_60,0.04673137843132108
ma_gap_20_60,0.046529917226594296
positive_return_ratio_60,0.04544855101266876
trend_consistency_60,0.04361678782152012
high_volume_down_ratio_20,0.0395057158727598
price_ma_60_gap,0.03668638686472799
down_volume_ratio_20,0.035414177699316325
return_120d,0.03420737473615667
return_60d,0.030988378526704503
large_down_day_ratio_20,0.028859568683574685
drawdown_120,0.028702560739475302
return_20d,0.02839026577532336
drawdown_20,0.024284231467130928
positive_return_ratio_20,0.020773472364193628
price_position_60,0.020221725964109368
drawdown_60,0.01951037378638007
ma_gap_5_20,0.01714294821315001
return_10d,0.013032558332410883
price_position_20,0.012433360133963149
price_ma_20_gap,0.01237039305539968
return_5d,0.011617810869795773
volume_shock_rank_252,0.011148834905941925
trend_consistency_20,0.010094813830662696
volume_ratio_20,0.009722439917303356
close_to_20d_high,0.00726177792863122
volume_zscore_20,0.006585295237614662
bearish_ma_stack,0.004435830896476372
close_to_60d_high,0.0027529942148941614
volume_shock_20,0.002097177305369682
