,importance
trend_slope_60,0.052098718455194364
large_up_day_ratio_20,0.051591450365127196
price_ma_120_gap,0.051111807994034496
price_ma_200_gap,0.0499337624087708
ma_gap_60_120,0.04922003267226197
trend_slope_20,0.04787461938325405
ma_gap_50_200,0.04751983707371567
ma200_slope_60,0.046730954646288105
ma_gap_20_60,0.046521187030954196
positive_return_ratio_60,0.04547470361493262
trend_consistency_60,0.04359638493042439
high_volume_down_ratio_20,0.03969872109952294
price_ma_60_gap,0.036585540609285955
down_volume_ratio_20,0.0354157504385252
return_120d,0.03419312881167224
return_60d,0.031152458070675407
large_down_day_ratio_20,0.02891376059518994
drawdown_120,0.028695398633274073
return_20d,0.028355548026627816
drawdown_20,0.02434292528397193
positive_return_ratio_20,0.020788504448275836
price_position_60,0.020261615432987344
drawdown_60,0.01949426322521287
ma_gap_5_20,0.017135687936263907
return_10d,0.01302347464615022
price_position_20,0.012489510486678531
price_ma_20_gap,0.012411541027956576
return_5d,0.011608188802516193
volume_shock_rank_252,0.01115895428838918
trend_consistency_20,0.010007767195236824
volume_ratio_20,0.009682482727969597
close_to_20d_high,0.007221671472680533
volume_zscore_20,0.006544066382741134
bearish_ma_stack,0.004338650864415935
close_to_60d_high,0.0027522496696162435
volume_shock_20,0.0020546853719722656
