start_date,trough_date,recovery_date,depth,duration_days,days_to_trough,avg_stock_weight,avg_prob_high_vol,avg_prob_down_risk,trough_regime
2021-11-17,2022-11-01,2023-12-07,-0.27355922444576974,516,240,0.6438878143133462,0.6681121589168966,0.5244107356939728,EXTREME_RISK
2020-02-14,2020-03-12,2020-06-18,-0.18371502526744643,86,18,0.5977011494252874,0.7516165965362032,0.5347396493651035,EXTREME_RISK
2025-02-14,2025-04-04,2025-08-06,-0.16328962686015924,118,34,0.6510924369747899,0.5706657591273675,0.4703882695985764,EXTREME_RISK
2018-08-27,2018-12-20,2019-03-19,-0.12883550540417055,139,80,0.6244285714285714,0.6258068476633548,0.4638924986680399,EXTREME_RISK
2015-07-16,2016-02-05,2016-07-25,-0.12107608214684429,258,141,0.7946718146718147,0.4929422966170944,0.45917049802811216,RISK_OFF
2024-07-08,2024-08-05,2024-12-02,-0.10759244368133236,103,20,0.7872115384615385,0.5000507154785182,0.4368866578248389,RISK_OFF
2026-01-26,2026-03-26,2026-04-22,-0.10232727188709045,60,42,0.8093442622950818,0.5987291677178325,0.46039629880709476,WATCH
2020-08-31,2020-09-21,2020-12-15,-0.08924521983079958,74,14,0.6539999999999999,0.7227735502130948,0.4997655504644173,RISK_OFF
2018-01-24,2018-02-06,2018-03-07,-0.08557044462248597,29,9,0.7906666666666669,0.5321302011992736,0.5055140988788264,NORMAL
2021-02-10,2021-03-04,2021-06-10,-0.08065610075737639,83,15,0.7492857142857144,0.598390405725356,0.5060950495797242,RISK_OFF
