prob_col,actual_col,positive_value,prob_bin,count,actual_rate,avg_prob,avg_strategy_return_net,ann_return_est,avg_stock_weight,avg_turnover
prob_high_vol,actual_risk,고변동,"(-0.001, 0.1]",56,0.017857142857142856,0.0914409345094872,0.0005767492880509455,0.15522140026366849,0.7885714285714286,0.0
prob_high_vol,actual_risk,고변동,"(0.1, 0.2]",569,0.15641476274165203,0.15901016476973726,0.0001723928405522315,0.041815247534289,0.8079437609841829,0.0078031634446397175
prob_high_vol,actual_risk,고변동,"(0.2, 0.3]",855,0.22456140350877193,0.24599719137398227,-8.301939109308824e-05,-0.024302070490003658,0.8068538011695907,0.0052865497076023385
prob_high_vol,actual_risk,고변동,"(0.3, 0.4]",593,0.22259696458684655,0.34674362962915467,0.0006501133033828697,0.1721906563690403,0.7977403035413152,0.004586846543001686
prob_high_vol,actual_risk,고변동,"(0.4, 0.5]",297,0.3872053872053872,0.4438797185826334,0.0007788731742392233,0.20860699256870152,0.787003367003367,0.025589225589225592
prob_high_vol,actual_risk,고변동,"(0.5, 0.6]",225,0.44,0.5458330426884472,0.00012961703141266918,0.026269854288817118,0.7816,0.018844444444444445
prob_high_vol,actual_risk,고변동,"(0.6, 0.7]",138,0.6521739130434783,0.6471271154010431,0.0010086886779915427,0.27430107368161694,0.7879710144927536,0.035942028985507246
prob_high_vol,actual_risk,고변동,"(0.7, 0.8]",200,0.73,0.7501184672953604,0.0008815653670267963,0.2417528879597488,0.5477999999999998,0.0818
prob_high_vol,actual_risk,고변동,"(0.8, 0.9]",217,0.7788018433179723,0.8538427458963842,2.566870475119996e-05,0.0005814725038988389,0.43741935483870964,0.032258064516129045
prob_high_vol,actual_risk,고변동,"(0.9, 1.0]",206,0.9271844660194175,0.9296045833492396,0.0005138239752172573,0.12723637189258397,0.38,0.0
prob_overall_risk,actual_risk,고변동,"(-0.001, 0.1]",56,0.017857142857142856,0.0914409345094872,0.0005767492880509455,0.15522140026366849,0.7885714285714286,0.0
prob_overall_risk,actual_risk,고변동,"(0.1, 0.2]",569,0.15641476274165203,0.15901016476973726,0.0001723928405522315,0.041815247534289,0.8079437609841829,0.0078031634446397175
prob_overall_risk,actual_risk,고변동,"(0.2, 0.3]",855,0.22456140350877193,0.24599719137398227,-8.301939109308824e-05,-0.024302070490003658,0.8068538011695907,0.0052865497076023385
prob_overall_risk,actual_risk,고변동,"(0.3, 0.4]",593,0.22259696458684655,0.34674362962915467,0.0006501133033828697,0.1721906563690403,0.7977403035413152,0.004586846543001686
prob_overall_risk,actual_risk,고변동,"(0.4, 0.5]",297,0.3872053872053872,0.4438797185826334,0.0007788731742392233,0.20860699256870152,0.787003367003367,0.025589225589225592
prob_overall_risk,actual_risk,고변동,"(0.5, 0.6]",225,0.44,0.5458330426884472,0.00012961703141266918,0.026269854288817118,0.7816,0.018844444444444445
prob_overall_risk,actual_risk,고변동,"(0.6, 0.7]",138,0.6521739130434783,0.6471271154010431,0.0010086886779915427,0.27430107368161694,0.7879710144927536,0.035942028985507246
prob_overall_risk,actual_risk,고변동,"(0.7, 0.8]",200,0.73,0.7501184672953604,0.0008815653670267963,0.2417528879597488,0.5477999999999998,0.0818
prob_overall_risk,actual_risk,고변동,"(0.8, 0.9]",217,0.7788018433179723,0.8538427458963842,2.566870475119996e-05,0.0005814725038988389,0.43741935483870964,0.032258064516129045
prob_overall_risk,actual_risk,고변동,"(0.9, 1.0]",206,0.9271844660194175,0.9296045833492396,0.0005138239752172573,0.12723637189258397,0.38,0.0
prob_down,actual_direction,하락,"(0.2, 0.3]",6,0.0,0.2836423840972275,0.00643601989805809,4.020058603965631,0.7800000000000001,0.0
prob_down,actual_direction,하락,"(0.3, 0.4]",80,0.3375,0.37617943711685753,0.0008626183491409287,0.23869038348236882,0.7422500000000001,0.0125
prob_down,actual_direction,하락,"(0.4, 0.5]",1898,0.32718651211801897,0.46779339122808566,8.318452616787656e-05,0.01639528256345235,0.7686722866174921,0.014035827186512119
prob_down,actual_direction,하락,"(0.5, 0.6]",1336,0.24625748502994013,0.5277196606525136,0.0006234419212144526,0.16352955767344568,0.695868263473054,0.017904191616766468
prob_down,actual_direction,하락,"(0.6, 0.7]",36,0.25,0.6440389426511998,0.0009421109669061241,0.25610743471245034,0.42277777777777775,0.007777777777777782
prob_up,actual_direction,상승,"(0.2, 0.3]",6,0.5,0.2909469047644243,-0.002639545512649472,-0.489364976273017,0.7999999999999999,0.0
