,importance
large_up_day_ratio_20,0.04968550185384672
trend_consistency_60,0.04875659931308797
positive_return_ratio_60,0.048236585220336796
drawdown_120,0.047407282246572396
ma_gap_50_200,0.047062856102702284
large_down_day_ratio_20,0.04687191333089556
ma_gap_20_60,0.04574248281636438
ma_gap_60_120,0.04508218149163036
trend_slope_60,0.042241319503066026
ma200_slope_60,0.039377504458931824
high_volume_down_ratio_20,0.03912831666613264
drawdown_60,0.03740210603323898
return_60d,0.036651336512203134
return_120d,0.035578770640010283
trend_slope_20,0.034894693088496014
price_ma_60_gap,0.03252605083195256
price_ma_200_gap,0.031057728766874845
price_ma_120_gap,0.026576573416276814
down_volume_ratio_20,0.025632791452155274
positive_return_ratio_20,0.02435846822447188
ma_gap_5_20,0.024214909062489853
price_position_20,0.023727448875798286
close_to_60d_high,0.0210562395527848
price_position_60,0.01997492294587631
drawdown_20,0.017780314745207776
return_5d,0.016882850674254955
trend_consistency_20,0.015339099778978538
return_10d,0.013943773920403593
volume_ratio_20,0.01317047317408853
close_to_20d_high,0.012658019261416196
return_20d,0.010987280966507989
volume_shock_rank_252,0.010421978447857057
volume_zscore_20,0.008958162485214416
volume_shock_20,0.003881178205076486
price_ma_20_gap,0.0026738899946511965
bearish_ma_stack,5.8398257120672266e-05
