,importance
ulcer_rank_252,0.0498457647017425
rogers_satchell_vol_20,0.04969261687062773
ulcer_index_60,0.04914598143659532
downside_vol_60,0.04590752228654714
parkinson_vol_60,0.045602093110718424
realized_vol_60,0.045224767663360886
ewma_vol_60,0.04501250631818991
parkinson_vol_20,0.044301649767837105
ulcer_index_20,0.04170513411961673
vol_of_vol_20,0.04123837675803178
yang_zhang_vol_60,0.03862293940850548
atr_ratio_14_60,0.03811677112886202
atr_rank_252,0.03577806575742129
garman_klass_vol_20,0.03571973261719067
yang_zhang_vol_20,0.035696165420501656
downside_vol_20,0.03562381619399059
bb_width_rank_252,0.03497213021332827
atr_pct_60,0.03383726043218289
keltner_width_20,0.03226984828750805
realized_vol_20,0.030094774777165777
bb_width_20,0.02979428062454168
atr_accel_5,0.02789021838901727
ewma_vol_20,0.026981216672408794
atr_ratio_20_60,0.02686709931835399
atr_pct_20,0.023780267880947722
atr_pct_14,0.02314843432620927
semi_vol_20,0.022679901759450633
true_range_pct,0.010450666654862058
