feature,stage1_importance,downrisk_importance,mean_importance,max_importance,importance_gap_stage1_minus_downrisk,is_low_importance_candidate,used_more_by,stage1_rank,downrisk_rank,mean_rank
atr_pct_14,0.0986961143515972,0.005402594801992001,0.0520493545767946,0.0986961143515972,0.0932935195496052,False,stage1,1,59,1
atr_pct_20,0.0823146254616505,0.0030716259487722853,0.042693125705211395,0.0823146254616505,0.0792429995128782,False,stage1,2,61,2
semi_vol_20,0.049542777165322426,0.007053927543065536,0.028298352354193982,0.049542777165322426,0.04248884962225689,False,stage1,3,54,3
ma_gap_50_200,0.009645038494555693,0.044907013626154874,0.027276026060355285,0.044907013626154874,-0.03526197513159918,False,downrisk,39,1,4
ewma_vol_20,0.045428395677369,0.008963054545368257,0.027195725111368627,0.045428395677369,0.03646534113200074,False,stage1,4,36,5
ma200_slope_60,0.010407792634352864,0.0417032669439199,0.026055529789136382,0.0417032669439199,-0.03129547430956704,False,downrisk,35,4,6
price_ma_200_gap,0.011581610144478165,0.040172183604679376,0.02587689687457877,0.040172183604679376,-0.02859057346020121,False,downrisk,26,6,7
trend_slope_60,0.00855203607616637,0.04226189294322419,0.02540696450969528,0.04226189294322419,-0.03370985686705782,False,downrisk,46,3,8
ma_gap_20_60,0.007917636966239015,0.04268736799240993,0.025302502479324473,0.04268736799240993,-0.03476973102617091,False,downrisk,50,2,9
ma_gap_60_120,0.010631504601665906,0.039473165689172585,0.025052335145419245,0.039473165689172585,-0.02884166108750668,False,downrisk,33,7,10
large_up_day_ratio_20,0.008624455313832779,0.040908947471316535,0.024766701392574655,0.040908947471316535,-0.03228449215748376,False,downrisk,45,5,11
price_ma_120_gap,0.009077016980362325,0.036587834268080724,0.022832425624221525,0.036587834268080724,-0.027510817287718398,False,downrisk,43,8,12
drawdown_60,0.019808379207028166,0.025052906623511777,0.02243064291526997,0.025052906623511777,-0.00524452741648361,False,downrisk,11,16,13
price_ma_60_gap,0.01474505502581754,0.029271486327538204,0.022008270676677873,0.029271486327538204,-0.014526431301720663,False,downrisk,16,11,14
rogers_satchell_vol_20,0.03592933612249215,0.0057758207662971725,0.02085257844439466,0.03592933612249215,0.030153515356194975,False,stage1,5,58,15
return_60d,0.014618315073011983,0.025921093309160082,0.020269704191086032,0.025921093309160082,-0.011302778236148099,False,downrisk,17,14,16
return_120d,0.009510603080603428,0.03032500129744924,0.019917802189026335,0.03032500129744924,-0.02081439821684581,False,downrisk,40,10,17
drawdown_120,0.01801085894718805,0.021690134851469756,0.019850496899328905,0.021690134851469756,-0.0036792759042817043,False,downrisk,13,18,18
positive_return_ratio_60,0.007974660806154596,0.030909749770274622,0.01944220528821461,0.030909749770274622,-0.022935088964120026,False,downrisk,49,9,19
atr_pct_60,0.02690593559952778,0.009983511629610486,0.018444723614569135,0.02690593559952778,0.016922423969917295,False,stage1,9,31,20
garman_klass_vol_20,0.028227195262186595,0.008640182602040246,0.01843368893211342,0.028227195262186595,0.019587012660146348,False,stage1,6,42,21
downside_vol_20,0.02788819134464517,0.008712090092146116,0.01830014071839564,0.02788819134464517,0.019176101252499054,False,stage1,7,40,22
return_20d,0.008707171807939645,0.027827709207922196,0.018267440507930922,0.027827709207922196,-0.01912053739998255,False,downrisk,44,12,23
trend_consistency_60,0.0051752564662646845,0.027789184903731935,0.01648222068499831,0.027789184903731935,-0.02261392843746725,False,downrisk,59,13,24
trend_slope_20,0.008438861021002393,0.02426873098315256,0.016353796002077477,0.02426873098315256,-0.01582986996215017,False,downrisk,47,17,25
price_ma_20_gap,0.01297695846883543,0.01792309059567869,0.015450024532257061,0.01792309059567869,-0.004946132126843259,False,downrisk,20,19,26
keltner_width_20,0.02736300724277426,0.002983535384776297,0.015173271313775279,0.02736300724277426,0.024379471857997964,False,stage1,8,62,27
price_position_60,0.012708817033637302,0.01676616856007483,0.014737492796856067,0.01676616856007483,-0.00405735152643753,False,downrisk,23,21,28
