,importance
price_ma_200_gap,0.043719271995370304
trend_slope_60,0.03920105518773198
return_120d,0.03824310461974931
ma_gap_50_200,0.03769333222228048
ma_gap_60_120,0.03722079787415664
price_ma_120_gap,0.037161388602445514
ma200_slope_60,0.0367977743041562
ma_gap_20_60,0.03665212440781618
price_ma_60_gap,0.0331904881430964
drawdown_120,0.029146380235765025
positive_return_ratio_60,0.027344207344444288
large_down_day_ratio_20,0.026809114940641893
trend_slope_20,0.026678625354907767
return_60d,0.026435488546158847
ma_gap_5_20,0.024351922535962495
large_up_day_ratio_20,0.023961626280132417
positive_return_ratio_20,0.023245507536439156
return_20d,0.02245125762839073
price_position_60,0.021457500754657646
drawdown_60,0.021354787156431403
return_10d,0.019858012470919034
drawdown_20,0.019226519766069535
trend_consistency_60,0.01726119332984744
price_ma_20_gap,0.016744624683909665
price_position_20,0.014167799362855284
down_volume_ratio_20,0.012934862588293277
rogers_satchell_vol_20,0.012722820558501458
close_to_60d_high,0.011219607509579836
downside_vol_60,0.010465686601246634
atr_pct_60,0.01023270344736163
trend_consistency_20,0.010226907395619454
vol_of_vol_20,0.010101353977946483
ulcer_index_20,0.009880008606726347
return_5d,0.009768839356963457
parkinson_vol_60,0.009553211012681063
atr_pct_14,0.00952698086703367
ulcer_rank_252,0.009411609724223141
ewma_vol_60,0.009389453262872533
semi_vol_20,0.009202416070919268
ulcer_index_60,0.00893412816081183
yang_zhang_vol_20,0.008745337932738533
garman_klass_vol_20,0.0085738652452089
realized_vol_60,0.008486330561849866
high_volume_down_ratio_20,0.008416806715392758
parkinson_vol_20,0.008366834184159386
bearish_ma_stack,0.007921651573038646
realized_vol_20,0.007623370686329152
bb_width_rank_252,0.0074343657027847905
atr_ratio_20_60,0.007202814058733306
bb_width_20,0.007181076254084628
downside_vol_20,0.007006154434445004
yang_zhang_vol_60,0.006969357056607291
ewma_vol_20,0.006591329556205918
atr_ratio_14_60,0.006535162230008872
atr_accel_5,0.0057072019107176596
close_to_20d_high,0.0047508636834444826
atr_rank_252,0.004746143842114767
volume_zscore_20,0.004725705447618137
atr_pct_20,0.0043771336145856715
true_range_pct,0.0042469471099053895
volume_shock_rank_252,0.003974395360235278
keltner_width_20,0.0030084260863295514
volume_ratio_20,0.0028481609368571767
volume_shock_20,0.0006160708767190703
