,importance
price_ma_200_gap,0.05441792559854332
trend_slope_60,0.048557226538717274
return_120d,0.04727916358341833
ma_gap_50_200,0.04705443067498328
ma_gap_60_120,0.04611381373020806
ma200_slope_60,0.04537961156188791
price_ma_120_gap,0.04520995852178044
ma_gap_20_60,0.044252623938807537
price_ma_60_gap,0.04003543716057071
down_volume_ratio_20,0.038804587764879835
drawdown_120,0.03586231974565188
positive_return_ratio_60,0.03472350566811483
large_down_day_ratio_20,0.034173130739613304
trend_slope_20,0.03262390809744367
return_60d,0.03245264312724993
ma_gap_5_20,0.02976538216610188
large_up_day_ratio_20,0.028875597165934446
return_20d,0.028275504536814256
positive_return_ratio_20,0.027538089878535607
drawdown_60,0.027271967561145652
drawdown_20,0.02608122665096455
high_volume_down_ratio_20,0.025250420146178277
price_position_60,0.023572895586276277
return_10d,0.02311220600965917
price_ma_20_gap,0.019462298676516516
price_position_20,0.017672936255592735
volume_zscore_20,0.014177116342854413
trend_consistency_60,0.013953961321050652
return_5d,0.012146749417182051
volume_shock_rank_252,0.011923186080705833
close_to_20d_high,0.009216725013204037
bearish_ma_stack,0.009089937147181777
volume_ratio_20,0.00854448281057153
close_to_60d_high,0.007804459080077885
trend_consistency_20,0.00747635838377478
volume_shock_20,0.001848212630157211
