,importance
price_ma_200_gap,0.05500769256872849
trend_slope_60,0.049449539795104
ma_gap_20_60,0.04848021642851924
ma200_slope_60,0.047726927020232235
ma_gap_60_120,0.04667238455583593
price_ma_120_gap,0.04524419168280604
price_ma_60_gap,0.045210895249583126
ma_gap_50_200,0.04499151199937813
positive_return_ratio_60,0.044107545163511994
return_120d,0.04347070543354632
drawdown_120,0.040429940590882556
down_volume_ratio_20,0.03588313759361867
large_down_day_ratio_20,0.03568953984890074
ma_gap_5_20,0.03519409361915822
return_60d,0.03485443389471916
trend_slope_20,0.031118660809769362
large_up_day_ratio_20,0.026292552396106266
trend_consistency_60,0.025050299303118317
drawdown_20,0.023878832019349035
positive_return_ratio_20,0.02368795911001692
high_volume_down_ratio_20,0.023142896945558725
return_20d,0.02057411620146937
volume_shock_rank_252,0.01893023981560079
price_position_60,0.01884849612796975
drawdown_60,0.018177661766025095
return_10d,0.017500429291676337
price_ma_20_gap,0.01643565884850908
return_5d,0.015264124736570501
price_position_20,0.012221103211859805
volume_ratio_20,0.01056612125183973
trend_consistency_20,0.010476913959127926
volume_zscore_20,0.010319839282255132
bearish_ma_stack,0.010014035844332761
close_to_60d_high,0.00658830619483654
volume_shock_20,0.004434456321697715
close_to_20d_high,0.0040645428151557484
