,importance
large_up_day_ratio_20,0.03886272677103783
ma_gap_60_120,0.03736178667021844
trend_slope_60,0.03702653359069047
price_ma_120_gap,0.036728717186332166
ma_gap_50_200,0.03639663839540272
price_ma_200_gap,0.03614960162797165
trend_slope_20,0.03410996529605277
ma200_slope_60,0.03405938032116064
ma_gap_20_60,0.033836396130596864
positive_return_ratio_60,0.03361066315972741
trend_consistency_60,0.030498896508659952
return_60d,0.02794080239965975
return_120d,0.027047385393565514
price_ma_60_gap,0.026732833226162815
return_20d,0.024406039855281565
drawdown_120,0.02379393784847441
large_down_day_ratio_20,0.023786087919882813
drawdown_20,0.021647283674864105
drawdown_60,0.02140349426275704
price_position_60,0.02090758757305523
positive_return_ratio_20,0.019978156069382316
ma_gap_5_20,0.01829367017166362
return_10d,0.01618859764000633
price_ma_20_gap,0.014916512293728685
return_5d,0.01424503901758354
price_position_20,0.0138472769996833
high_volume_down_ratio_20,0.013035468977972095
trend_consistency_20,0.012781020208110793
down_volume_ratio_20,0.011452575071892904
ulcer_rank_252,0.011069348406759494
rogers_satchell_vol_20,0.011033589033460462
ulcer_index_60,0.010937135123131991
downside_vol_60,0.010202309625499228
parkinson_vol_60,0.010123744315420142
realized_vol_60,0.0100421353758229
ewma_vol_60,0.009995351125021356
parkinson_vol_20,0.009833527245853225
ulcer_index_20,0.009262819740571398
vol_of_vol_20,0.009162298338799828
yang_zhang_vol_60,0.008589091181436413
atr_ratio_14_60,0.008500974470744571
yang_zhang_vol_20,0.007937025621816118
downside_vol_20,0.00793632307575237
garman_klass_vol_20,0.007926256709294378
atr_rank_252,0.007894292004743996
bb_width_rank_252,0.00777223819776026
close_to_20d_high,0.007639855930774277
close_to_60d_high,0.007535596865777918
atr_pct_60,0.007531493993470285
bearish_ma_stack,0.007304232797094307
keltner_width_20,0.007210658398273035
realized_vol_20,0.00669021304098091
bb_width_20,0.00661395337078629
atr_accel_5,0.006198985449511089
ewma_vol_20,0.006001896982950141
atr_ratio_20_60,0.005967454776899623
atr_pct_20,0.005262575910020763
atr_pct_14,0.005156630017975657
semi_vol_20,0.005041634696174406
volume_shock_rank_252,0.004879071974847219
volume_ratio_20,0.00472221898754859
volume_zscore_20,0.0027036096382684134
true_range_pct,0.0023282661817096983
volume_shock_20,0.0019481172341675986
