,importance
atr_pct_14,0.09428675996050948
ewma_vol_20,0.07900243639377304
atr_pct_20,0.07495430421586784
semi_vol_20,0.06626995575147919
rogers_satchell_vol_20,0.0387905389994442
parkinson_vol_20,0.03652133052893323
garman_klass_vol_20,0.03299784454995663
downside_vol_20,0.02349716816781207
close_to_20d_high,0.020392248498302207
drawdown_20,0.018372507110822
downside_vol_60,0.01633745254736231
drawdown_60,0.01600138522363046
realized_vol_20,0.015403687957633872
parkinson_vol_60,0.015355447344186287
price_position_20,0.013399204757271426
yang_zhang_vol_60,0.013373033491093554
return_20d,0.012956866738235592
yang_zhang_vol_20,0.012873908955433373
price_ma_20_gap,0.012528642548882125
return_10d,0.012429991443833199
return_120d,0.011635560925776464
close_to_60d_high,0.011627954715275711
keltner_width_20,0.011521200647448063
atr_pct_60,0.011464265966626246
ewma_vol_60,0.011358119628442052
atr_rank_252,0.011190651517291183
price_ma_10_gap,0.011055318569387532
drawdown_120,0.010823257054364639
true_range_pct,0.010653339266095177
ma200_slope_60,0.0098500760544243
price_ma_200_gap,0.009843806236324507
price_ma_120_gap,0.009686849146318208
price_position_60,0.009678773321028861
atr_ratio_14_60,0.009524347702926395
realized_vol_60,0.009440418046858487
ulcer_index_60,0.00917278489029582
vol_of_vol_20,0.009159467576186188
ma_gap_50_200,0.009148491232837033
ma_gap_60_120,0.00904856103708938
positive_return_ratio_60,0.008909117374738372
return_5d,0.00872229975171678
ma_gap_5_20,0.008578344478698296
trend_slope_60,0.008368196307047684
trend_slope_20,0.008361194538756824
ma_gap_20_60,0.008348606985929933
bb_width_20,0.008244971003145947
ulcer_index_20,0.007979631740396606
large_up_day_ratio_20,0.00793837872611004
atr_ratio_20_60,0.007806534405510377
price_ma_60_gap,0.007538615491198254
trend_consistency_60,0.007195220517677813
volume_zscore_20,0.007141141984036602
bb_width_rank_252,0.006923059029874807
ulcer_rank_252,0.00683599650963313
atr_accel_5,0.006714822095408823
down_volume_ratio_20,0.006702141560174549
return_60d,0.006458293338284189
volume_shock_rank_252,0.0061075948608107404
volume_ratio_20,0.006025146992215014
high_volume_down_ratio_20,0.005365176290214304
positive_return_ratio_20,0.0049376191882181
volume_shock_20,0.004445358512009353
large_down_day_ratio_20,0.003103849502636761
daily_return,0.002779412677970835
trend_consistency_20,0.0025872462567883125
volume_change,0.001836775180941509
lower_high_20,0.0017803887871771563
bearish_ma_stack,0.0006369022577552916
