model,prob_col,actual_col,positive_value,threshold,precision,recall,f1,pred_positive_ratio,support_positive,support_negative
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.1,0.42523794903285234,0.9899928520371694,0.5949312714776632,0.9705005959475567,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.15,0.46204053589831673,0.9614010007147963,0.6241299303944315,0.8674016686531585,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.2,0.5031225604996097,0.9213724088634739,0.6508457460237314,0.7634088200238379,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.25,0.5424486148346738,0.8677626876340243,0.6675831729447347,0.666865315852205,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.3,0.5677673730901922,0.823445318084346,0.6721120186697783,0.6045887961859356,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.35,0.6033149171270719,0.7805575411007862,0.6805858522904331,0.5393325387365911,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.4,0.6304481276856968,0.73409578270193,0.678335535006605,0.48539928486293205,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.45,0.6664355062413315,0.6869192280200143,0.6765223512847589,0.4296781883194279,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.5,0.7001545595054096,0.6476054324517513,0.6728555514296324,0.38557806912991655,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.55,0.7398230088495575,0.5975696926375983,0.6611308817714512,0.3367103694874851,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.6,0.7666335650446872,0.5518227305218013,0.6417290108063175,0.3000595947556615,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.65,0.7936865839909808,0.503216583273767,0.615923009623797,0.2643027413587604,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.7,0.8257477243172952,0.45389563974267333,0.5857933579335793,0.22914183551847436,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.75,0.8589341692789969,0.3917083631165118,0.538046146293569,0.1901072705601907,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.8,0.8763102725366876,0.29878484631879915,0.44562899786780386,0.14213349225268176,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.85,0.9175257731958762,0.1908506075768406,0.31597633136094677,0.0867103694874851,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.9,0.9329608938547486,0.11937097927090778,0.21166032953105196,0.0533373063170441,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.1,0.42523794903285234,0.9899928520371694,0.5949312714776632,0.9705005959475567,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.15,0.46204053589831673,0.9614010007147963,0.6241299303944315,0.8674016686531585,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.2,0.5031225604996097,0.9213724088634739,0.6508457460237314,0.7634088200238379,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.25,0.5424486148346738,0.8677626876340243,0.6675831729447347,0.666865315852205,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.3,0.5677673730901922,0.823445318084346,0.6721120186697783,0.6045887961859356,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.35,0.6033149171270719,0.7805575411007862,0.6805858522904331,0.5393325387365911,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.4,0.6304481276856968,0.73409578270193,0.678335535006605,0.48539928486293205,1399,1957
