,importance
ma_gap_60_120,0.03473167307884052
ma200_slope_60,0.03374612082062434
ma_gap_50_200,0.0326581188640855
trend_slope_60,0.03215276191774957
return_120d,0.03198878729861822
ma_gap_20_60,0.02838632312658962
price_ma_200_gap,0.028358842320646165
price_ma_120_gap,0.028171000613050674
positive_return_ratio_60,0.028123347223716844
return_60d,0.0247267900320774
large_down_day_ratio_20,0.024452415736083855
trend_consistency_60,0.02426603762254563
trend_slope_20,0.023799304326065775
positive_return_ratio_20,0.02352409563419544
drawdown_60,0.023375911736770328
price_ma_60_gap,0.022358917573091067
large_up_day_ratio_20,0.021026680218431577
ma_gap_5_20,0.020609043711919774
drawdown_120,0.02032796071448205
price_position_60,0.01987144692752279
return_20d,0.019502752564751074
large_up_day_ratio_10,0.015918380374318225
trend_slope_10,0.014939007130226742
close_to_60d_high,0.014216304835405168
price_position_10_minus_20,0.01376339576569077
positive_return_ratio_10,0.01340050608613248
drawdown_20,0.012791233650131172
return_10d,0.01219640995274475
return_5d,0.011941628279685205
price_ma_20_gap,0.01168849880939149
down_volume_ratio_20,0.011136522273729842
trend_consistency_20,0.010778067228308092
drawdown_10,0.010721711932329547
large_down_day_ratio_10,0.010656718678824395
realized_vol_60,0.00993803036820601
price_position_10,0.00949453249468944
ulcer_index_60,0.009362435290752952
downside_vol_60,0.009134586657889392
trend_slope_5,0.009019291545159454
atr_rank_252,0.008691099672605992
yang_zhang_vol_60,0.008519989418079814
parkinson_vol_60,0.008504539178727216
atr_pct_60,0.008243123048976411
downside_vol_20,0.008228504028460364
bb_width_20,0.008051985039920098
high_volume_down_ratio_20,0.007979595125650924
vol_of_vol_20,0.007919495688164952
ewma_vol_60,0.007855652871891132
atr_ratio_20_60,0.00758030166859837
atr_ratio_14_60,0.00753937831517667
bb_width_rank_252,0.007452198800091806
ulcer_rank_252,0.007393311165323032
realized_vol_20,0.00730737382983138
price_position_5_minus_20,0.007245408834127956
ulcer_index_20,0.007151556482115729
realized_vol_10,0.006875953157440591
semi_vol_20,0.006717485384867906
rogers_satchell_vol_20,0.0062913553025295285
price_position_20,0.006173890636705879
ewma_vol_20,0.006130578669643071
garman_klass_vol_20,0.006114713893418185
realized_vol_ratio_10_20,0.006005995470024005
downside_vol_10,0.005952232377782021
yang_zhang_vol_20,0.005773489510486411
semi_vol_10,0.005309029315137679
parkinson_vol_20,0.0051140889449997635
atr_pct_10,0.004816919489655
drawdown_5,0.004743140307474844
close_to_20d_high,0.004539183916755446
volume_ratio_20,0.004252364463927396
keltner_width_20,0.004241061702564053
atr_pct_5,0.0041433244295898146
bearish_ma_stack,0.0040845356178750725
atr_pct_14,0.004016532917667962
atr_pct_20,0.0038372334162479122
volume_shock_rank_252,0.0036713080277237437
close_to_10d_high,0.003327026187771817
volume_zscore_20,0.0029407854182753276
true_range_pct,0.0020086669626408244
