,importance
realized_vol_60,0.04472113665692704
ulcer_index_60,0.04213095880838828
downside_vol_60,0.04110563996050226
atr_rank_252,0.039109948526726966
yang_zhang_vol_60,0.03833995238135916
parkinson_vol_60,0.038270426304272465
atr_pct_60,0.03709405372039385
downside_vol_20,0.03702826812807163
bb_width_20,0.03623393267964044
vol_of_vol_20,0.03563773059674228
ewma_vol_60,0.035350437923510086
atr_ratio_20_60,0.03411135750869266
atr_ratio_14_60,0.03392720241829501
bb_width_rank_252,0.033534894600413125
ulcer_rank_252,0.03326990024395364
realized_vol_20,0.03288318223424121
ulcer_index_20,0.03218200416952078
realized_vol_10,0.030941789208482656
semi_vol_20,0.030228684231905577
rogers_satchell_vol_20,0.028311098861382878
ewma_vol_20,0.02758760401339382
garman_klass_vol_20,0.02751621252038183
realized_vol_ratio_10_20,0.02702697961510802
downside_vol_10,0.02678504570001909
yang_zhang_vol_20,0.025980702797188848
semi_vol_10,0.02389063191811955
parkinson_vol_20,0.023013400252498935
atr_pct_10,0.0216761377034475
keltner_width_20,0.019084777661538238
atr_pct_5,0.018644959933154164
atr_pct_14,0.018074398129505828
atr_pct_20,0.017267550373115604
true_range_pct,0.00903900133188371
