,importance
ulcer_index_60,0.039397426204578506
rogers_satchell_vol_20,0.03844362354143486
parkinson_vol_60,0.037958284919445834
ulcer_rank_252,0.03751022754687934
realized_vol_60,0.03485939374178766
downside_vol_60,0.03483290661824867
ewma_vol_60,0.034822387816680095
parkinson_vol_20,0.03237980054571323
vol_of_vol_20,0.03226866373895771
ulcer_index_20,0.03212010591163389
yang_zhang_vol_60,0.030365957094054753
garman_klass_vol_20,0.0299486549215905
atr_ratio_14_60,0.029614303070249863
yang_zhang_vol_20,0.027590035113722218
bb_width_rank_252,0.027479046756135567
atr_pct_60,0.027097849214485558
downside_vol_20,0.026372800092397643
atr_rank_252,0.026042920189894854
realized_vol_ratio_10_20,0.025038463483464772
atr_pct_10,0.02432729378028492
bb_width_20,0.024008833587498567
atr_ratio_20_60,0.02148624688376754
downside_vol_5,0.02017619764725197
downside_vol_10,0.019413152120597216
atr_ratio_5_20,0.01932938408809706
semi_vol_10,0.018617921292533292
atr_accel_5,0.01845557848014684
realized_vol_20,0.018435167756194012
semi_vol_5,0.01829306090537954
atr_ratio_10_20,0.01825775458391512
ewma_vol_10,0.018168227897683485
realized_vol_10,0.016949309714763085
keltner_width_20,0.016438553369389697
atr_pct_5,0.01641832751649042
semi_vol_20,0.01621831885961636
ewma_vol_5,0.015687496688712152
realized_vol_ratio_5_20,0.015625652274817214
ewma_vol_20,0.015377173422917074
atr_pct_20,0.014590549454292086
atr_pct_14,0.012855047513435166
realized_vol_5,0.01230475219696047
true_range_pct,0.004423148484333762
