,importance
atr_pct_10,0.08872315925622215
atr_pct_14,0.058636650279079314
atr_pct_5,0.042598554953338676
semi_vol_20,0.04233627585545903
atr_pct_20,0.03337489536591867
ewma_vol_20,0.03230722938317899
rogers_satchell_vol_20,0.024577231527285814
garman_klass_vol_20,0.022604276730802782
parkinson_vol_20,0.021815448069006264
downside_vol_20,0.017152975570564787
realized_vol_20,0.014433818706356039
drawdown_20,0.0141209637328598
semi_vol_10,0.013741860361141523
downside_vol_10,0.013293633526556069
downside_vol_60,0.012099238888209036
drawdown_60,0.011691381393907322
drawdown_10,0.011272395270348097
parkinson_vol_60,0.011095368216509029
downside_vol_5,0.010173569700869155
yang_zhang_vol_60,0.009919564704071649
yang_zhang_vol_20,0.009877973140502282
close_to_10d_high,0.00973475988942641
return_20d,0.00953132452940779
semi_vol_5,0.0094060292044199
price_position_10,0.009220587603875983
ewma_vol_60,0.009148129473552606
return_120d,0.009102083830156524
atr_rank_252,0.008890168425938417
down_volume_ratio_10,0.008798152344608089
keltner_width_20,0.008522274403579408
return_10d,0.008455611826609548
price_position_20,0.008423832562194937
atr_pct_60,0.00841692053920327
high_volume_down_ratio_10,0.008197076759556478
price_ma_20_gap,0.007988320564768473
close_to_20d_high,0.007856976383371668
ma200_slope_60,0.00783285371234963
price_position_60,0.007725457776172016
price_ma_10_gap,0.007653641757436104
price_ma_200_gap,0.007492251436079165
price_ma_5_gap,0.007419023129787652
drawdown_120,0.00737621499262339
price_ma_120_gap,0.007345301560942769
price_position_5,0.007205785818865616
ma_gap_50_200,0.007143846615271907
ma_gap_60_120,0.007139546356888281
vol_of_vol_20,0.0070292944915958545
realized_vol_60,0.006970156375332624
ulcer_index_60,0.006948032102208965
trend_slope_5,0.006621619109908005
trend_slope_60,0.006596698075078339
volume_ratio_5_minus_20,0.006563433783730221
return_5d_minus_20d,0.006511378752711896
positive_return_ratio_60,0.006476379127788177
trend_slope_20,0.0063786343557045
ma_gap_20_60,0.006316175325241241
ulcer_index_20,0.0062589680855169375
bb_width_20,0.006071202799036641
large_up_day_ratio_20,0.006037449695560056
price_ma_60_gap,0.005988868544158149
drawdown_5,0.005968823240043512
realized_vol_10,0.0059016383182400505
return_60d,0.005867862361796258
atr_ratio_20_60,0.005739833373116285
atr_ratio_14_60,0.005672726326237252
price_position_10_minus_20,0.005426969200740702
ma_gap_5_20,0.005397456819298982
return_10d_minus_20d,0.005388472281489547
trend_slope_10,0.005320392783658694
bb_width_rank_252,0.005303696727871341
true_range_pct,0.005225181091985192
down_volume_ratio_20,0.005192353301774278
close_to_60d_high,0.005183149680663389
trend_consistency_60,0.0051594947076193335
down_volume_ratio_5,0.005007984837577046
ulcer_rank_252,0.0050056975818560685
positive_return_ratio_10,0.004914389369446326
volume_ratio_10_minus_20,0.004860808363798155
return_5d,0.00461260333182393
realized_vol_ratio_5_20,0.004533646053510488
realized_vol_5,0.004498099850303831
realized_vol_ratio_10_20,0.0041304179920444994
atr_ratio_10_20,0.0040096788065244575
volume_ratio_20,0.004007227524710735
volume_zscore_20,0.004000553190601908
large_up_day_ratio_5,0.003966422792433017
atr_ratio_5_20,0.0038031347606568215
price_position_5_minus_20,0.0032274489813964523
volume_zscore_10,0.0031984559154735175
volume_shock_rank_252,0.0031546904722831856
ewma_vol_10,0.0031181804260346064
return_5d_minus_10d,0.0030857905143301693
positive_return_ratio_20,0.0029781225769994987
high_volume_down_ratio_20,0.0029763720578651533
atr_accel_5,0.0029595220798206527
volume_ratio_10,0.002807209099522706
large_down_day_ratio_20,0.002697845698945919
close_to_5d_high,0.002668093535436446
high_volume_down_ratio_5,0.002342977754418977
ewma_vol_5,0.002339344608117244
large_up_day_ratio_10,0.0018773345059287746
volume_shock_20,0.001869399321686427
volume_ratio_5,0.0017966671104789253
volume_zscore_5,0.0017269809018144438
daily_return,0.0017245306292046454
large_down_day_ratio_10,0.0013404704219889634
volume_change,0.0012988057987029836
trend_consistency_20,0.0011238095619716213
positive_return_ratio_5,0.0010888136264438366
lower_high_20,0.0010814230137463985
large_down_day_ratio_5,0.000438940392794191
bearish_ma_stack,0.0003391289899697753
