model,prob_col,actual_col,positive_value,threshold,precision,recall,f1,pred_positive_ratio,support_positive,support_negative
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.1,0.4328125,0.9899928520371694,0.6023048488801913,0.9535160905840286,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.15,0.46869534802378454,0.9578270192994996,0.6294034758102396,0.851907032181168,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.2,0.5092848676412485,0.9213724088634739,0.6559796437659033,0.7541716328963052,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.25,0.5463780918727915,0.8842030021443888,0.6754026754026754,0.6746126340882003,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.3,0.5773660490736104,0.8241601143674053,0.6790341578327445,0.5950536352800954,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.35,0.6078539823008849,0.7855611150822016,0.6853757405675086,0.5387365911799762,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.4,0.6307409675443968,0.7362401715511079,0.679419525065963,0.4865911799761621,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.45,0.6675824175824175,0.6947819871336669,0.6809106830122592,0.433849821215733,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.5,0.7085271317829457,0.6533238027162259,0.6798066195611752,0.3843861740166865,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.55,0.7378472222222222,0.6075768406004288,0.6664053312426499,0.3432657926102503,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.6,0.7629774730656219,0.5568263045032166,0.643801652892562,0.30423122765196664,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.65,0.7895902547065338,0.509649749821301,0.6194613379669852,0.26907032181168056,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.7,0.8197146562905318,0.4517512508934953,0.5824884792626728,0.22973778307508938,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.75,0.8421052631578947,0.3888491779842745,0.5320293398533007,0.19249106078665076,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.8,0.8755102040816326,0.30664760543245173,0.45420857596611963,0.14600715137067938,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.85,0.921311475409836,0.2008577555396712,0.32981220657276994,0.09088200238379023,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.9,0.9345238095238095,0.11222301644031452,0.200382897255903,0.050059594755661505,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.1,0.4328125,0.9899928520371694,0.6023048488801913,0.9535160905840286,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.15,0.46869534802378454,0.9578270192994996,0.6294034758102396,0.851907032181168,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.2,0.5092848676412485,0.9213724088634739,0.6559796437659033,0.7541716328963052,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.25,0.5463780918727915,0.8842030021443888,0.6754026754026754,0.6746126340882003,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.3,0.5773660490736104,0.8241601143674053,0.6790341578327445,0.5950536352800954,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.35,0.6078539823008849,0.7855611150822016,0.6853757405675086,0.5387365911799762,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.4,0.6307409675443968,0.7362401715511079,0.679419525065963,0.4865911799761621,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.45,0.6675824175824175,0.6947819871336669,0.6809106830122592,0.433849821215733,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.5,0.7085271317829457,0.6533238027162259,0.6798066195611752,0.3843861740166865,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.55,0.7378472222222222,0.6075768406004288,0.6664053312426499,0.3432657926102503,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.6,0.7629774730656219,0.5568263045032166,0.643801652892562,0.30423122765196664,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.65,0.7895902547065338,0.509649749821301,0.6194613379669852,0.26907032181168056,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.7,0.8197146562905318,0.4517512508934953,0.5824884792626728,0.22973778307508938,1399,1957
