feature,stage1_importance,downrisk_importance,mean_importance,max_importance,importance_gap_stage1_minus_downrisk,is_low_importance_candidate,used_more_by,stage1_rank,downrisk_rank,mean_rank
atr_pct_10,0.10047753210482557,0.006643018178556385,0.053560275141690976,0.10047753210482557,0.0938345139262692,False,stage1,1,59,1
atr_pct_14,0.07000266975355482,0.0038632576715618345,0.036932963712558324,0.07000266975355482,0.06613941208199299,False,stage1,2,75,2
semi_vol_20,0.044943384760194424,0.004086090590116179,0.0245147376751553,0.044943384760194424,0.040857294170078245,False,stage1,3,73,3
atr_pct_20,0.04100322807096832,0.004379509140293252,0.022691368605630785,0.04100322807096832,0.036623718930675064,False,stage1,4,71,4
atr_pct_5,0.03763178570685947,0.0050404035903897785,0.021336094648624623,0.03763178570685947,0.03259138211646969,False,stage1,5,67,5
ma_gap_60_120,0.007970230277842058,0.03278009855123549,0.020375164414538773,0.03278009855123549,-0.02480986827339343,False,downrisk,43,1,6
trend_slope_60,0.007339326900292358,0.03264502273516063,0.019992174817726492,0.03264502273516063,-0.02530569583486827,False,downrisk,48,2,7
price_ma_200_gap,0.008253018963509858,0.031030414404361502,0.01964171668393568,0.031030414404361502,-0.022777395440851646,False,downrisk,39,5,8
ma_gap_50_200,0.007904194764416879,0.031231239130901176,0.019567716947659027,0.031231239130901176,-0.0233270443664843,False,downrisk,45,4,9
large_up_day_ratio_20,0.006540996662229262,0.03249492413135473,0.019517960396791996,0.03249492413135473,-0.025953927469125466,False,downrisk,60,3,10
price_ma_120_gap,0.008086440856011847,0.030833883262782465,0.019460162059397157,0.030833883262782465,-0.022747442406770617,False,downrisk,41,6,11
ma200_slope_60,0.008585953900437166,0.029219494439822472,0.01890272417012982,0.029219494439822472,-0.020633540539385306,False,downrisk,37,7,12
rogers_satchell_vol_20,0.02773239624608929,0.010070822321780262,0.018901609283934778,0.02773239624608929,0.01766157392430903,False,stage1,7,36,13
trend_slope_20,0.007223662786571598,0.029022716514930883,0.018123189650751242,0.029022716514930883,-0.021799053728359285,False,downrisk,50,9,14
ma_gap_20_60,0.006968226145487741,0.0291711155991842,0.01806967087233597,0.0291711155991842,-0.02220288945369646,False,downrisk,51,8,15
positive_return_ratio_60,0.007267241574554068,0.02828310421364944,0.017775172894101753,0.02828310421364944,-0.02101586263909537,False,downrisk,49,10,16
ewma_vol_20,0.03079891257670929,0.004290229963956173,0.01754457127033273,0.03079891257670929,0.026508682612753118,False,stage1,6,72,17
return_120d,0.010202944762683713,0.023178983053805988,0.01669096390824485,0.023178983053805988,-0.012976038291122274,False,downrisk,25,12,18
parkinson_vol_20,0.023738322662889944,0.008450735617647476,0.01609452914026871,0.023738322662889944,0.015287587045242468,False,stage1,9,45,19
trend_consistency_60,0.005858745714018398,0.025381194227835,0.0156199699709267,0.025381194227835,-0.0195224485138166,False,downrisk,69,11,20
garman_klass_vol_20,0.024109905646626083,0.007020139896008125,0.015565022771317105,0.024109905646626083,0.017089765750617956,False,stage1,8,53,21
return_20d,0.010616621502112905,0.020110722161422737,0.01536367183176782,0.020110722161422737,-0.009494100659309833,False,downrisk,23,15,22
return_60d,0.0065568305287725375,0.023107803071512684,0.01483231680014261,0.023107803071512684,-0.01655097254274015,False,downrisk,59,13,23
drawdown_10,0.012163457873236713,0.016783185005808048,0.014473321439522381,0.016783185005808048,-0.004619727132571335,False,downrisk,18,22,24
price_ma_60_gap,0.006648879927062866,0.022160426333809803,0.014404653130436335,0.022160426333809803,-0.015511546406746938,False,downrisk,58,14,25
price_position_60,0.008815960095720556,0.019943173012170183,0.014379566553945369,0.019943173012170183,-0.011127212916449627,False,downrisk,36,17,26
drawdown_120,0.008569955556194622,0.02007073925916355,0.014320347407679086,0.02007073925916355,-0.011500783702968927,False,downrisk,38,16,27
drawdown_60,0.011804840756985147,0.01585213994925367,0.013828490353119408,0.01585213994925367,-0.004047299192268523,False,downrisk,20,23,28
drawdown_20,0.015405009284713453,0.012203956289549091,0.013804482787131273,0.015405009284713453,0.0032010529951643617,False,stage1,12,29,29
positive_return_ratio_10,0.006953544892670805,0.018897271582712948,0.012925408237691876,0.018897271582712948,-0.011943726690042143,False,downrisk,53,18,30
downside_vol_20,0.01876322048742117,0.0067800788370632895,0.01277164966224223,0.01876322048742117,0.011983141650357881,False,stage1,10,58,31
price_ma_20_gap,0.009262713374251717,0.014770765813080696,0.012016739593666207,0.014770765813080696,-0.0055080524388289795,False,downrisk,31,26,32
downside_vol_60,0.013327857504861193,0.008992121910316644,0.011159989707588918,0.013327857504861193,0.004335735594544549,False,stage1,16,41,33
ma_gap_5_20,0.006205112281537685,0.015736827652909395,0.01097096996722354,0.015736827652909395,-0.00953171537137171,False,downrisk,65,24,34
price_position_20,0.010060355173303082,0.011666521801673276,0.010863438487488178,0.011666521801673276,-0.0016061666283701936,False,downrisk,27,31,35
parkinson_vol_60,0.012192074652245668,0.00948415426997307,0.010838114461109369,0.012192074652245668,0.002707920382272598,False,stage1,17,39,36
realized_vol_20,0.016419841348608084,0.005030534084396835,0.010725187716502459,0.016419841348608084,0.01138930726421125,False,stage1,11,68,37
positive_return_ratio_20,0.0038189793817078707,0.017576344317756183,0.010697661849732027,0.017576344317756183,-0.013757364936048313,False,downrisk,77,21,38
large_down_day_ratio_20,0.0031756915011555975,0.018218349719709984,0.010697020610432791,0.018218349719709984,-0.015042658218554387,False,downrisk,79,20,39
large_up_day_ratio_10,0.002969935628600849,0.01824237568153496,0.010606155655067903,0.01824237568153496,-0.01527244005293411,False,downrisk,80,19,40
trend_slope_5,0.008207318126432299,0.012985870016222211,0.010596594071327254,0.012985870016222211,-0.0047785518897899126,False,downrisk,40,28,41
semi_vol_10,0.014991926740982481,0.005527752257675767,0.010259839499329125,0.014991926740982481,0.009464174483306713,False,stage1,13,65,42
price_position_10,0.010293605174483095,0.010217893173272607,0.010255749173877851,0.010293605174483095,7.571200121048866e-05,False,stage1,24,35,43
return_10d,0.009077032336357488,0.011234204752301007,0.010155618544329247,0.011234204752301007,-0.00215717241594352,False,downrisk,33,32,44
price_position_10_minus_20,0.006098447223430123,0.013545971662315293,0.00982220944287271,0.013545971662315293,-0.00744752443888517,False,downrisk,68,27,45
downside_vol_10,0.014341623351760468,0.005291949887287753,0.00981678661952411,0.014341623351760468,0.009049673464472715,False,stage1,15,66,46
close_to_60d_high,0.011838929285716851,0.007084193748891735,0.009461561517304293,0.011838929285716851,0.004754735536825116,False,stage1,19,52,47
yang_zhang_vol_60,0.010960770164577601,0.007949231751961224,0.009455000958269413,0.010960770164577601,0.003011538412616378,False,stage1,22,48,48
trend_slope_10,0.006536021603054335,0.011957434785807533,0.009246728194430934,0.011957434785807533,-0.005421413182753198,False,downrisk,61,30,49
close_to_10d_high,0.011588286934150505,0.006866168713474702,0.009227227823812603,0.011588286934150505,0.004722118220675803,False,stage1,21,56,50
ulcer_index_60,0.007957766252239087,0.010359053848216037,0.009158410050227562,0.010359053848216037,-0.0024012875959769503,False,downrisk,44,34,51
ewma_vol_60,0.009091842113689165,0.008839648644845585,0.008965745379267375,0.009091842113689165,0.0002521934688435798,False,stage1,32,44,52
large_down_day_ratio_10,0.0023892206547518275,0.015496197178782454,0.00894270891676714,0.015496197178782454,-0.013106976524030627,False,downrisk,81,25,53
yang_zhang_vol_20,0.009970040843236059,0.007197690267683332,0.008583865555459695,0.009970040843236059,0.002772350575552727,False,stage1,28,50,54
