model,prob_col,actual_col,positive_value,threshold,precision,recall,f1,pred_positive_ratio,support_positive,support_negative
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.1,0.4325421611492817,0.9899928520371694,0.6020430341230167,0.9541120381406436,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.15,0.4688044614848379,0.9614010007147963,0.6302717900656045,0.8548867699642432,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.2,0.509083728278041,0.9213724088634739,0.6558127702874587,0.7544696066746126,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.25,0.5449339207048458,0.8842030021443888,0.6742981738893431,0.6764004767580453,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.3,0.5775,0.825589706933524,0.6796116504854369,0.5959475566150179,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.35,0.607517965726921,0.7855611150822016,0.6851620947630923,0.5390345649582837,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.4,0.630901287553648,0.7355253752680486,0.6792079207920793,0.48599523241954706,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.45,0.6652920962199312,0.6919228020014296,0.6783461807988788,0.43355184743742553,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.5,0.708430007733952,0.6547533952823446,0.6805349182763745,0.38528009535160906,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.55,0.739357080799305,0.6082916368834882,0.6674509803921569,0.3429678188319428,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.6,0.7647058823529411,0.557541100786276,0.6448945845390658,0.3039332538736591,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.65,0.7876106194690266,0.5089349535382416,0.6183239253148067,0.2693682955899881,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.7,0.8201811125485123,0.453180843459614,0.583793738489871,0.2303337306317044,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.75,0.8442367601246106,0.3874195854181558,0.5311121999020089,0.19129916567342073,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.8,0.8757637474541752,0.3073624017155111,0.455026455026455,0.1463051251489869,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.85,0.9218241042345277,0.20228734810578985,0.33177022274325907,0.09147794994040524,1399,1957
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.9,0.9345238095238095,0.11222301644031452,0.200382897255903,0.050059594755661505,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.1,0.4325421611492817,0.9899928520371694,0.6020430341230167,0.9541120381406436,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.15,0.4688044614848379,0.9614010007147963,0.6302717900656045,0.8548867699642432,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.2,0.509083728278041,0.9213724088634739,0.6558127702874587,0.7544696066746126,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.25,0.5449339207048458,0.8842030021443888,0.6742981738893431,0.6764004767580453,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.3,0.5775,0.825589706933524,0.6796116504854369,0.5959475566150179,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.35,0.607517965726921,0.7855611150822016,0.6851620947630923,0.5390345649582837,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.4,0.630901287553648,0.7355253752680486,0.6792079207920793,0.48599523241954706,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.45,0.6652920962199312,0.6919228020014296,0.6783461807988788,0.43355184743742553,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.5,0.708430007733952,0.6547533952823446,0.6805349182763745,0.38528009535160906,1399,1957
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.55,0.739357080799305,0.6082916368834882,0.6674509803921569,0.3429678188319428,1399,1957
