,importance
ma_gap_60_120,0.04565708813722253
ma200_slope_60,0.044765683038840216
ma_gap_50_200,0.04307593775373544
trend_slope_60,0.04257147551949842
return_120d,0.0421595296948143
price_ma_200_gap,0.03741255269726805
ma_gap_20_60,0.03725123376738165
price_ma_120_gap,0.03693186756076073
positive_return_ratio_60,0.03687250507082642
trend_consistency_60,0.03567116699155627
large_down_day_ratio_20,0.03258444649437147
positive_return_ratio_20,0.032517292060624134
return_60d,0.032510918217537564
drawdown_60,0.03147868369197813
trend_slope_20,0.030918528431010645
price_ma_60_gap,0.030073091964454977
ma_gap_5_20,0.02832468451213081
large_up_day_ratio_20,0.027941011526207957
drawdown_120,0.02691044351307764
price_position_60,0.02632139789045415
return_20d,0.026058558982077512
large_up_day_ratio_10,0.02094548086010729
trend_slope_10,0.020194607784304257
price_position_10_minus_20,0.018362149175132684
trend_consistency_20,0.01807149557123286
positive_return_ratio_10,0.017807725081225394
drawdown_20,0.017295074251171806
close_to_60d_high,0.0166201992630906
return_10d,0.01596652112179765
price_ma_20_gap,0.015823997940767894
return_5d,0.015743321613785704
drawdown_10,0.014677854596811812
large_down_day_ratio_10,0.014307016799908265
price_position_10,0.012513602783872643
trend_slope_5,0.012196338433705744
price_position_5_minus_20,0.009350583511785237
price_position_20,0.008613502264173198
close_to_20d_high,0.006719935808856491
drawdown_5,0.006520223355668321
bearish_ma_stack,0.005370518221637226
close_to_10d_high,0.004891755236756234
