,importance
ma_gap_60_120,0.04332128381608368
ma200_slope_60,0.04156868166238484
ma_gap_50_200,0.04055448049020636
return_120d,0.0397799901919724
trend_slope_60,0.03966708208405642
ma_gap_20_60,0.03548231454936156
price_ma_200_gap,0.03524111016087686
price_ma_120_gap,0.03522898124991491
positive_return_ratio_60,0.0352144092198975
down_volume_ratio_20,0.03340727305129847
return_60d,0.03086816404206657
trend_slope_20,0.03016272269452375
large_down_day_ratio_20,0.029924644150245483
drawdown_60,0.02837204175612276
positive_return_ratio_20,0.027237542217710776
price_ma_60_gap,0.026884898170320658
large_up_day_ratio_20,0.025908210337908553
trend_consistency_60,0.025250818628779915
drawdown_120,0.025064515733295895
price_position_60,0.02453452400587839
ma_gap_5_20,0.024040825453041526
high_volume_down_ratio_20,0.023938542189041203
return_20d,0.023733209328023055
close_to_60d_high,0.02044675573866005
large_up_day_ratio_10,0.01981194674093757
trend_slope_10,0.01791836259421654
price_position_10_minus_20,0.016766872245907075
positive_return_ratio_10,0.016450556055176657
return_10d,0.015332671585167105
drawdown_20,0.015252106920646233
return_5d,0.014820622011166773
price_ma_20_gap,0.013899021593968
large_down_day_ratio_10,0.012943074280638173
volume_ratio_20,0.012735988864502388
drawdown_10,0.012511985875096884
price_position_10,0.011664577702518612
volume_shock_rank_252,0.011080510511664981
trend_slope_5,0.010884670982820338
price_position_5_minus_20,0.009276993331392683
volume_zscore_20,0.008796228395437668
trend_consistency_20,0.008297707167205064
price_position_20,0.0070375609683405995
drawdown_5,0.005532289998954516
bearish_ma_stack,0.005099931506207675
close_to_20d_high,0.004620063114709901
close_to_10d_high,0.003433240845590753
