,importance
atr_pct_10,0.04300759868979979
drawdown_120,0.032374769178111766
drawdown_60,0.031114769937717245
rogers_satchell_vol_20,0.030712764384350607
atr_pct_14,0.030339909808390075
garman_klass_vol_20,0.026088172964418413
atr_pct_5,0.024586574400249417
parkinson_vol_20,0.02298507357701024
close_to_60d_high,0.02252968020738557
drawdown_20,0.021037486410153048
semi_vol_20,0.019867688051557968
semi_vol_10,0.01882635547444229
close_to_20d_high,0.018092214269234404
price_ma_120_gap,0.017611185220933596
atr_pct_20,0.016612860626456234
price_ma_200_gap,0.015315617214496126
atr_rank_252,0.014241439108936613
price_position_60,0.013794264314630334
realized_vol_20,0.013744099177919062
downside_vol_20,0.013533167768776092
return_20d,0.013487640270024968
price_ma_60_gap,0.013358919384122673
downside_vol_10,0.013322818184297787
ma_gap_60_120,0.013099272032305303
price_ma_20_gap,0.013095142106309025
price_position_20,0.01295737641190239
yang_zhang_vol_20,0.0128739186981716
downside_vol_60,0.012602339044846419
ulcer_index_20,0.012555384604234455
yang_zhang_vol_60,0.012168530955715965
return_120d,0.012163729824856596
parkinson_vol_60,0.012143918230885035
atr_pct_60,0.011892498923034941
drawdown_10,0.011115527195165164
ewma_vol_60,0.010812641467679449
price_position_10,0.01061373608310157
ulcer_index_60,0.010359524474003434
ma200_slope_60,0.010319911633222734
atr_ratio_20_60,0.010225907705587036
ulcer_rank_252,0.010135316023407209
ma_gap_50_200,0.00998082076907777
down_volume_ratio_10,0.009901151821381179
ewma_vol_20,0.00983315698860159
trend_slope_60,0.00979166800870088
ma_gap_20_60,0.009766012187832357
return_10d,0.00975769502494788
realized_vol_60,0.009594644094509672
trend_slope_20,0.009494453710120733
down_volume_ratio_20,0.009444482280352011
realized_vol_10,0.009403478297786799
vol_of_vol_20,0.009249870907441372
return_5d,0.009019920178500812
return_60d,0.008891192870809363
atr_ratio_14_60,0.008878429059093054
positive_return_ratio_60,0.008716306754418866
ma_gap_5_20,0.008710717750704682
bb_width_rank_252,0.008560503977937587
trend_slope_5,0.008460831139128487
close_to_10d_high,0.008417421605358074
bb_width_20,0.008340083299940272
keltner_width_20,0.008197119436837446
trend_slope_10,0.007621948626713617
true_range_pct,0.007475594609656712
high_volume_down_ratio_20,0.007397954011540129
trend_consistency_60,0.007267730603517621
realized_vol_ratio_10_20,0.007266440354987213
price_position_10_minus_20,0.007242810322760119
drawdown_5,0.007119432928289276
high_volume_down_ratio_10,0.007021938215111443
positive_return_ratio_20,0.006804909121055538
return_5d_minus_20d,0.006274450924127537
large_up_day_ratio_20,0.005862396842906218
positive_return_ratio_10,0.005824394903466811
price_position_5_minus_20,0.0054584981727881345
return_10d_minus_20d,0.005389416274891485
volume_ratio_20,0.00493094001899047
volume_zscore_20,0.0047599953418726824
volume_shock_rank_252,0.00432875788471026
trend_consistency_20,0.003882329267435847
large_down_day_ratio_20,0.003877708685519922
large_up_day_ratio_10,0.0033455845070695057
large_down_day_ratio_10,0.002408847406679833
bearish_ma_stack,0.000308215532063586
