,importance
ma_gap_60_120,0.04564638864891123
ma200_slope_60,0.04476259692779018
ma_gap_50_200,0.04307571896869275
trend_slope_60,0.042566413342438096
return_120d,0.04215919103525165
price_ma_200_gap,0.03740781389148204
ma_gap_20_60,0.037250509735222585
price_ma_120_gap,0.036933796037850526
positive_return_ratio_60,0.03685643006530073
trend_consistency_60,0.03565548446735308
large_down_day_ratio_20,0.03256435372907343
return_60d,0.03251531264350123
positive_return_ratio_20,0.0324937288343559
drawdown_60,0.031402500185077
trend_slope_20,0.03087591309229047
price_ma_60_gap,0.03009602953632508
ma_gap_5_20,0.02831297407085494
large_up_day_ratio_20,0.02796422897852839
drawdown_120,0.02687248612000119
price_position_60,0.026340287519107934
return_20d,0.026061980992907924
large_up_day_ratio_10,0.020943514366947403
trend_slope_10,0.02017713898317197
price_position_10_minus_20,0.018412546207804956
trend_consistency_20,0.018000923658883762
positive_return_ratio_10,0.017806731325852827
drawdown_20,0.01743993414995549
close_to_60d_high,0.016667346263624323
return_10d,0.01595106190019838
price_ma_20_gap,0.015803756414243253
return_5d,0.015738709224991446
drawdown_10,0.01474386274582237
large_down_day_ratio_10,0.014300055540626914
price_position_10,0.012519652912170198
trend_slope_5,0.012179700452461042
price_position_5_minus_20,0.009345951745556719
price_position_20,0.008611916625009071
close_to_20d_high,0.006692573989326659
drawdown_5,0.006542008493924518
bearish_ma_stack,0.005369787321898103
close_to_10d_high,0.0049386904902926215
