feature,stage1_importance,downrisk_importance,mean_importance,max_importance,importance_gap_stage1_minus_downrisk,is_low_importance_candidate,used_more_by,stage1_rank,downrisk_rank,mean_rank
drawdown_60,0.031083525530664787,0.023418900434159166,0.027251212982411975,0.031083525530664787,0.007664625096505621,False,stage1,3,15,1
drawdown_120,0.03237807765947129,0.020303254215851815,0.026340665937661552,0.03237807765947129,0.012074823443619473,False,stage1,2,19,2
atr_pct_10,0.043087674750091134,0.004813680387969741,0.023950677569030437,0.043087674750091134,0.038273994362121394,False,stage1,1,67,3
ma_gap_60_120,0.013080232394424946,0.03472702935988827,0.02390363087715661,0.03472702935988827,-0.021646796965463323,False,downrisk,24,1,4
price_ma_120_gap,0.01759519527258673,0.028153034443599012,0.02287411485809287,0.028153034443599012,-0.010557839171012284,False,downrisk,14,8,5
return_120d,0.012180997422720316,0.03199216593919766,0.022086581680958988,0.03199216593919766,-0.019811168516477344,False,downrisk,30,5,6
ma200_slope_60,0.010304082486693495,0.033748572313976585,0.02202632740033504,0.033748572313976585,-0.023444489827283088,False,downrisk,38,2,7
price_ma_200_gap,0.01532855631751498,0.028369690775765156,0.021849123546640068,0.028369690775765156,-0.013041134458250177,False,downrisk,16,7,8
ma_gap_50_200,0.00996589369609114,0.03266087019793148,0.02131338194701131,0.03266087019793148,-0.02269497650184034,False,downrisk,41,3,9
trend_slope_60,0.009823276793054354,0.03214018667555423,0.020981731734304294,0.03214018667555423,-0.022316909882499878,False,downrisk,43,4,10
ma_gap_20_60,0.00974525752716877,0.028378630727552367,0.01906194412736057,0.028378630727552367,-0.018633373200383597,False,downrisk,45,6,11
rogers_satchell_vol_20,0.030693051232880124,0.006297151893424014,0.01849510156315207,0.030693051232880124,0.024395899339456108,False,stage1,4,58,12
close_to_60d_high,0.02271612163409979,0.014251470657024473,0.018483796145562132,0.02271612163409979,0.008464650977075315,False,stage1,9,24,13
positive_return_ratio_60,0.00869708803871177,0.028116910965712637,0.018406999502212203,0.028116910965712637,-0.019419822927000868,False,downrisk,56,9,14
price_ma_60_gap,0.01339879733368723,0.02233221480583672,0.017865506069761974,0.02233221480583672,-0.00893341747214949,False,downrisk,22,16,15
atr_pct_14,0.030380841614079678,0.0040139466626475185,0.0171973941383636,0.030380841614079678,0.02636689495143216,False,stage1,5,74,16
drawdown_20,0.021046192897893702,0.012859570368693323,0.01695288163329351,0.021046192897893702,0.008186622529200379,False,stage1,10,27,17
return_60d,0.008927739167409037,0.024735370010157295,0.016831554588783167,0.024735370010157295,-0.015807630842748256,False,downrisk,53,10,18
price_position_60,0.013778435080407039,0.01988386967124145,0.016831152375824245,0.01988386967124145,-0.006105434590834411,False,downrisk,18,20,19
trend_slope_20,0.009457552695457996,0.023764187840514296,0.016610870267986147,0.023764187840514296,-0.0143066351450563,False,downrisk,48,13,20
return_20d,0.01348625397729492,0.019507060166465497,0.016496657071880208,0.019507060166465497,-0.006020806189170577,False,downrisk,21,21,21
garman_klass_vol_20,0.026190382828760433,0.006107683993067095,0.016149033410913765,0.026190382828760433,0.020082698835693337,False,stage1,6,61,22
trend_consistency_60,0.007326995869305623,0.024261074418784015,0.01579403514404482,0.024261074418784015,-0.01693407854947839,False,downrisk,65,12,23
positive_return_ratio_20,0.006809243165453009,0.023522852837730625,0.015166048001591817,0.023522852837730625,-0.016713609672277616,False,downrisk,70,14,24
ma_gap_5_20,0.008748149953322671,0.020597419507603375,0.014672784730463023,0.020597419507603375,-0.011849269554280704,False,downrisk,55,18,25
atr_pct_5,0.024570973033578844,0.004130460584309293,0.014350716808944067,0.024570973033578844,0.020440512449269553,False,stage1,7,72,26
large_down_day_ratio_20,0.0038714173195561643,0.02444470390400324,0.014158060611779702,0.02444470390400324,-0.020573286584447074,False,downrisk,79,11,27
parkinson_vol_20,0.022918907851546207,0.005112923438953841,0.014015915645250024,0.022918907851546207,0.017805984412592367,False,stage1,8,66,28
large_up_day_ratio_20,0.005882936342360038,0.021061628451858314,0.013472282397109176,0.021061628451858314,-0.015178692109498276,False,downrisk,72,17,29
semi_vol_20,0.01983322136185875,0.006719374494766658,0.013276297928312704,0.01983322136185875,0.013113846867092091,False,stage1,11,57,30
price_ma_20_gap,0.01304048890140996,0.011652904707807873,0.012346696804608917,0.01304048890140996,0.0013875841936020865,False,stage1,25,30,31
semi_vol_10,0.018809302490938404,0.005341482829659084,0.012075392660298744,0.018809302490938404,0.01346781966127932,False,stage1,12,65,32
atr_rank_252,0.014265642509555965,0.008690229912229562,0.011477936210892763,0.014265642509555965,0.005575412597326404,False,stage1,17,40,33
trend_slope_10,0.0076161638472180965,0.014935641413926316,0.011275902630572206,0.014935641413926316,-0.00731947756670822,False,downrisk,62,23,34
close_to_20d_high,0.017989491281378646,0.0045434818170647295,0.011266486549221688,0.017989491281378646,0.013446009464313916,False,stage1,13,69,35
return_10d,0.00973022279762633,0.012198516039783952,0.010964369418705142,0.012198516039783952,-0.002468293242157622,False,downrisk,46,28,36
drawdown_10,0.011094173507423139,0.010719340296397671,0.010906756901910404,0.011094173507423139,0.0003748332110254677,False,stage1,34,33,37
downside_vol_20,0.013523987250953233,0.008215312233319928,0.01086964974213658,0.013523987250953233,0.005308675017633305,False,stage1,20,44,38
downside_vol_60,0.01257083789006708,0.009125502583590489,0.010848170236828785,0.01257083789006708,0.0034453353064765914,False,stage1,28,38,39
realized_vol_20,0.01372390518613501,0.007347787292863077,0.010535846239499044,0.01372390518613501,0.006376117893271933,False,stage1,19,53,40
price_position_10_minus_20,0.007292894187620342,0.01376859706229443,0.010530745624957386,0.01376859706229443,-0.006475702874674088,False,downrisk,66,25,41
return_5d,0.009040656351172648,0.011940829840298487,0.010490743095735567,0.011940829840298487,-0.0029001734891258395,False,downrisk,52,29,42
atr_pct_20,0.016758013079950052,0.0038781661676115,0.010318089623780776,0.016758013079950052,0.012879846912338552,False,stage1,15,75,43
parkinson_vol_60,0.012124089039432528,0.008506617828502394,0.010315353433967462,0.012124089039432528,0.0036174712109301333,False,stage1,32,41,44
yang_zhang_vol_60,0.012130076161661741,0.008482186748671917,0.01030613145516683,0.012130076161661741,0.0036478894129898243,False,stage1,31,42,45
down_volume_ratio_20,0.009414581233191452,0.011136088818525736,0.010275335025858593,0.011136088818525736,-0.0017215075853342834,False,downrisk,49,31,46
atr_pct_60,0.011848103074260593,0.008255767329563955,0.010051935201912273,0.011848103074260593,0.003592335744696638,False,stage1,33,43,47
price_position_10,0.010614376961026238,0.009461847902889009,0.010038112431957624,0.010614376961026238,0.0011525290581372288,False,stage1,36,36,48
ulcer_index_60,0.0103785575505869,0.00936511817588011,0.009871837863233505,0.0103785575505869,0.0010134393747067913,False,stage1,37,37,49
