,importance
atr_pct_10,0.04305281485932706
drawdown_120,0.03237488680719036
drawdown_60,0.031036622756454607
rogers_satchell_vol_20,0.030662198120562752
atr_pct_14,0.030526276082604283
garman_klass_vol_20,0.026250096716226485
atr_pct_5,0.024576981960438258
parkinson_vol_20,0.02299418744920596
close_to_60d_high,0.022790481087530866
drawdown_20,0.021050527028400833
semi_vol_20,0.019798803066228245
semi_vol_10,0.01890067347298937
close_to_20d_high,0.01795909293230666
price_ma_120_gap,0.01752917262857654
atr_pct_20,0.01634110718666148
price_ma_200_gap,0.015280688117537277
atr_rank_252,0.014290085648156939
price_position_60,0.013759298159703533
realized_vol_20,0.013751737562098054
return_20d,0.013549826986153195
downside_vol_20,0.013456726486130345
price_ma_60_gap,0.013365342581978655
downside_vol_10,0.013141104382705793
price_ma_20_gap,0.013112827373308593
ma_gap_60_120,0.013101264622130815
price_position_20,0.012978332564938366
yang_zhang_vol_20,0.012939007377315733
downside_vol_60,0.012637215965162521
ulcer_index_20,0.012492103026098838
return_120d,0.01217947800002534
yang_zhang_vol_60,0.01214848276108641
parkinson_vol_60,0.012135210440921208
atr_pct_60,0.011844283684969549
drawdown_10,0.011052941906900598
ewma_vol_60,0.010828676782509882
price_position_10,0.010652836266008164
ulcer_index_60,0.010368778685727786
ma200_slope_60,0.010329677328136602
atr_ratio_20_60,0.010249887528184372
ulcer_rank_252,0.010145183659222397
ma_gap_50_200,0.009980455647146011
down_volume_ratio_10,0.009875071333515244
ma_gap_20_60,0.009771706886293407
trend_slope_60,0.009770432835740929
ewma_vol_20,0.009747124693293453
return_10d,0.009728295017180606
realized_vol_60,0.00955096745620101
trend_slope_20,0.009495894927113113
down_volume_ratio_20,0.009427393408822397
realized_vol_10,0.009399084752217169
vol_of_vol_20,0.009252531042240287
return_5d,0.009021016944261068
return_60d,0.008944950718888857
atr_ratio_14_60,0.008865476169210034
ma_gap_5_20,0.008718619310168414
positive_return_ratio_60,0.008712485720922005
bb_width_rank_252,0.008532864287334387
trend_slope_5,0.008470537721489705
close_to_10d_high,0.008443029449514894
bb_width_20,0.008335512202710749
keltner_width_20,0.00819525690526723
trend_slope_10,0.007616631408575178
true_range_pct,0.007486499909494644
high_volume_down_ratio_20,0.0074380210657983255
price_position_10_minus_20,0.007302597405474184
realized_vol_ratio_10_20,0.007300305366842377
trend_consistency_60,0.007247615575723767
drawdown_5,0.007139584263515846
high_volume_down_ratio_10,0.007003994261991928
positive_return_ratio_20,0.006839886231647243
return_5d_minus_20d,0.006244794978578111
large_up_day_ratio_20,0.005853647178256208
positive_return_ratio_10,0.005804504483486588
return_10d_minus_20d,0.005455606497788959
price_position_5_minus_20,0.005454091615164875
volume_ratio_20,0.00494893372232553
volume_zscore_20,0.004796322927625675
volume_shock_rank_252,0.0043434866942111475
large_down_day_ratio_20,0.0038828028642340557
trend_consistency_20,0.0038675238662028914
large_up_day_ratio_10,0.0034055795532612902
large_down_day_ratio_10,0.00239471499761503
bearish_ma_stack,0.00029922727342290313
