,importance
ma200_slope_60,0.048580998017097865
ma_gap_60_120,0.047433951570253284
ma_gap_50_200,0.046320877139574834
ma_gap_20_60,0.042835970560277235
trend_slope_60,0.04016916323402372
large_down_day_ratio_20,0.03942877113900428
price_ma_200_gap,0.03830397132696817
positive_return_ratio_60,0.036097935070597845
return_120d,0.03445556609683933
drawdown_120,0.03279590897236919
price_ma_120_gap,0.03247531760245606
drawdown_60,0.032217271188976215
return_60d,0.029219707365550605
price_ma_60_gap,0.028583506046295896
trend_slope_20,0.02821949130572778
down_volume_ratio_20,0.027157294060695374
large_up_day_ratio_20,0.02658326217848327
ma_gap_5_20,0.023816961340921736
return_20d,0.023481691663157164
price_position_60,0.023328912131893004
close_to_60d_high,0.022491880152965823
drawdown_20,0.022211475854015186
high_volume_down_ratio_20,0.02173629908712529
price_ma_20_gap,0.021207549119560375
trend_consistency_60,0.020919230884857594
trend_slope_10,0.017922116121178354
return_10d,0.017295963126011813
positive_return_ratio_20,0.01653808730886325
drawdown_10,0.015369460812681132
price_position_20,0.014193196379148993
large_down_day_ratio_10,0.01381521319507599
price_position_10_minus_20,0.012280923951443078
return_5d,0.011975569075412562
positive_return_ratio_10,0.011862711865418648
large_up_day_ratio_10,0.010582059969555491
close_to_20d_high,0.008521370382772552
volume_ratio_20,0.008181518928246251
price_position_5_minus_20,0.007942170687798237
volume_zscore_20,0.007741874624722793
trend_slope_5,0.006900792825367788
volume_shock_rank_252,0.006657606811045082
price_position_10,0.006410465046775201
drawdown_5,0.0060429527375307525
close_to_10d_high,0.004746860480822977
trend_consistency_20,0.003749919377104749
bearish_ma_stack,0.0011962033911711639
