,importance
ma200_slope_60,0.04106811437192431
ma_gap_50_200,0.039778555354934575
ma_gap_60_120,0.037355035599493595
trend_slope_60,0.03403907737666251
return_120d,0.029479031560814616
ma_gap_20_60,0.02944871000933249
price_ma_200_gap,0.027784301661024968
return_20d,0.02769802835047181
price_ma_120_gap,0.026532193720108718
trend_slope_20,0.024532714043923563
large_up_day_ratio_20,0.024435533397987888
return_60d,0.023841232005462606
large_down_day_ratio_20,0.023713179017411795
price_ma_60_gap,0.022791989220512517
ma_gap_5_20,0.021834618885755233
drawdown_120,0.021541035655480226
drawdown_60,0.02139342865350552
price_ma_20_gap,0.019728022756189893
drawdown_20,0.019610542660074823
positive_return_ratio_60,0.019155266221928473
trend_slope_10,0.01914572526756333
positive_return_ratio_20,0.017811939563676944
price_position_60,0.01629311390257255
return_10d,0.015661268080819794
large_down_day_ratio_10,0.012741656298051067
price_position_20,0.012544844145899946
large_up_day_ratio_10,0.012035483504451938
return_5d,0.0115288914115154
price_position_10_minus_20,0.011250766463958818
trend_consistency_60,0.010958764562016289
high_volume_down_ratio_20,0.010805687439324894
down_volume_ratio_20,0.010491099997418814
atr_ratio_20_60,0.010372730091089348
drawdown_10,0.009822676353910802
trend_slope_5,0.009545123416380853
close_to_60d_high,0.00951022316797799
yang_zhang_vol_60,0.009435055743861038
ulcer_rank_252,0.008627976860613496
atr_rank_252,0.008589650795509015
price_position_10,0.008470510468511092
ulcer_index_60,0.008254180045455951
parkinson_vol_60,0.008246608023557195
downside_vol_60,0.008105810991992658
realized_vol_20,0.007945692604501089
vol_of_vol_20,0.007727977351371854
realized_vol_60,0.007518540401325021
atr_pct_60,0.007449696652459415
close_to_20d_high,0.007377679315052773
bb_width_rank_252,0.007348053845966226
downside_vol_20,0.007278664923035295
ewma_vol_60,0.007266990788977198
bb_width_20,0.0072437261653274816
atr_ratio_14_60,0.007113425529895861
yang_zhang_vol_20,0.007019031679312571
downside_vol_10,0.006880350647875268
semi_vol_10,0.006724522029848042
realized_vol_10,0.006593886889654152
atr_pct_14,0.006488737556718929
atr_pct_10,0.006372210731470344
trend_consistency_20,0.006355972315276755
price_position_5_minus_20,0.006012005294351777
ulcer_index_20,0.0058640273776497925
parkinson_vol_20,0.0057417945167406205
positive_return_ratio_10,0.005689845722353162
garman_klass_vol_20,0.005605591779831903
ewma_vol_20,0.005466722791532598
semi_vol_20,0.0052492507395451166
rogers_satchell_vol_20,0.005163309397997181
realized_vol_ratio_10_20,0.005113081349286508
atr_pct_20,0.004907955688401721
drawdown_5,0.0048199938612538025
atr_pct_5,0.004457305031251639
keltner_width_20,0.004442785940216395
volume_ratio_20,0.003040608500178057
close_to_10d_high,0.002716174387377958
volume_shock_rank_252,0.0027074034459758124
volume_zscore_20,0.0026829765103694244
bearish_ma_stack,0.0019967350447665393
true_range_pct,0.0016068774570690528
