,importance
ma200_slope_60,0.0547983425388497
ma_gap_50_200,0.051905197642063576
ma_gap_60_120,0.049095620814200845
trend_slope_60,0.04484705302200252
return_120d,0.039156755065685875
ma_gap_20_60,0.0387734568626218
return_20d,0.037191224551024214
price_ma_200_gap,0.03675215652182242
price_ma_120_gap,0.03488545858352962
large_up_day_ratio_20,0.032776774869980436
trend_slope_20,0.032118885018130566
large_down_day_ratio_20,0.03183965120092219
return_60d,0.031691688521176625
price_ma_60_gap,0.030737219743997908
ma_gap_5_20,0.02958017662234534
drawdown_120,0.029455600450293988
drawdown_60,0.028741324904821963
price_ma_20_gap,0.026763743696175794
positive_return_ratio_60,0.02616443613829139
positive_return_ratio_20,0.026013337532132273
drawdown_20,0.025893492736190276
trend_slope_10,0.02457525794624604
price_position_60,0.021520923826813934
return_10d,0.02111295481523802
trend_consistency_60,0.01786260610993301
price_position_20,0.01774014193529544
large_down_day_ratio_10,0.01748300276212542
return_5d,0.015431636926569766
large_up_day_ratio_10,0.015285209991238917
price_position_10_minus_20,0.014556061697750545
drawdown_10,0.012844683330816528
trend_slope_5,0.012641382202716722
trend_consistency_20,0.011850928978270127
price_position_10,0.010179267956927005
close_to_60d_high,0.009836715194285802
close_to_20d_high,0.009286924843705954
price_position_5_minus_20,0.00838916244171583
positive_return_ratio_10,0.007394086998742534
drawdown_5,0.006392802115947739
close_to_10d_high,0.003727336669163335
bearish_ma_stack,0.002707317087148863
